"Dimension","Mapped","Total","Validation_Coverage","Algorithm","Scenario","Fold"
5,80,80,1,"Topolow","dim2_S_noise_bias",4
5,80,80,1,"Topolow","dim2_S_noise_bias",5
5,80,80,1,"Topolow","dim2_S_noise_bias",6
5,80,80,1,"Topolow","dim2_S_noise_bias",7
5,80,80,1,"Topolow","dim2_S_noise_bias",8
5,80,80,1,"Topolow","dim2_S_noise_bias",9
5,80,80,1,"Topolow","dim2_S_noise_bias",10
5,80,80,1,"Topolow","dim2_S_noise_bias",11
5,80,80,1,"Topolow","dim2_S_noise_bias",12
5,80,80,1,"Topolow","dim2_S_noise_bias",13
5,80,80,1,"Topolow","dim2_S_noise_bias",14
5,80,80,1,"Topolow","dim2_S_noise_bias",15
5,80,80,1,"Topolow","dim2_S_noise_bias",16
5,80,80,1,"Topolow","dim2_S_noise_bias",17
5,80,80,1,"Topolow","dim2_S_noise_bias",18
5,80,80,1,"Topolow","dim2_S_noise_bias",19
5,80,80,1,"Topolow","dim2_S_noise_bias",20
9,80,80,1,"Topolow","dim2_M_noise_bias",1
9,80,80,1,"Topolow","dim2_M_noise_bias",2
9,80,80,1,"Topolow","dim2_M_noise_bias",3
9,80,80,1,"Topolow","dim2_M_noise_bias",4
9,80,80,1,"Topolow","dim2_M_noise_bias",5
9,80,80,1,"Topolow","dim2_M_noise_bias",6
9,80,80,1,"Topolow","dim2_M_noise_bias",7
9,80,80,1,"Topolow","dim2_M_noise_bias",8
9,80,80,1,"Topolow","dim2_M_noise_bias",9
9,80,80,1,"Topolow","dim2_M_noise_bias",10
9,80,80,1,"Topolow","dim2_M_noise_bias",11
9,80,80,1,"Topolow","dim2_M_noise_bias",12
9,80,80,1,"Topolow","dim2_M_noise_bias",13
9,80,80,1,"Topolow","dim2_M_noise_bias",14
9,80,80,1,"Topolow","dim2_M_noise_bias",15
9,80,80,1,"Topolow","dim2_M_noise_bias",16
9,80,80,1,"Topolow","dim2_M_noise_bias",17
9,80,80,1,"Topolow","dim2_M_noise_bias",18
9,80,80,1,"Topolow","dim2_M_noise_bias",19
9,80,80,1,"Topolow","dim2_M_noise_bias",20
3,80,80,1,"Topolow","dim2_L_noise_bias",1
3,80,80,1,"Topolow","dim2_L_noise_bias",2
3,80,80,1,"Topolow","dim2_L_noise_bias",3
3,80,80,1,"Topolow","dim2_L_noise_bias",4
3,80,80,1,"Topolow","dim2_L_noise_bias",5
3,80,80,1,"Topolow","dim2_L_noise_bias",6
3,80,80,1,"Topolow","dim2_L_noise_bias",7
3,80,80,1,"Topolow","dim2_L_noise_bias",8
3,80,80,1,"Topolow","dim2_L_noise_bias",9
3,80,80,1,"Topolow","dim2_L_noise_bias",10
3,80,80,1,"Topolow","dim2_L_noise_bias",11
3,80,80,1,"Topolow","dim2_L_noise_bias",12
3,80,80,1,"Topolow","dim2_L_noise_bias",13
3,80,80,1,"Topolow","dim2_L_noise_bias",14
3,80,80,1,"Topolow","dim2_L_noise_bias",15
3,80,80,1,"Topolow","dim2_L_noise_bias",16
3,80,80,1,"Topolow","dim2_L_noise_bias",17
3,80,80,1,"Topolow","dim2_L_noise_bias",18
3,80,80,1,"Topolow","dim2_L_noise_bias",19
3,80,80,1,"Topolow","dim2_L_noise_bias",20
21,80,80,1,"Topolow","dim5_S_missing",1
21,80,80,1,"Topolow","dim5_S_missing",2
21,80,80,1,"Topolow","dim5_S_missing",3
21,80,80,1,"Topolow","dim5_S_missing",4
21,80,80,1,"Topolow","dim5_S_missing",5
21,80,80,1,"Topolow","dim5_S_missing",6
21,80,80,1,"Topolow","dim5_S_missing",7
21,80,80,1,"Topolow","dim5_S_missing",8
21,80,80,1,"Topolow","dim5_S_missing",9
21,80,80,1,"Topolow","dim5_S_missing",10
21,80,80,1,"Topolow","dim5_S_missing",11
21,80,80,1,"Topolow","dim5_S_missing",12
21,80,80,1,"Topolow","dim5_S_missing",13
21,80,80,1,"Topolow","dim5_S_missing",14
21,80,80,1,"Topolow","dim5_S_missing",15
21,80,80,1,"Topolow","dim5_S_missing",16
21,80,80,1,"Topolow","dim5_S_missing",17
21,80,80,1,"Topolow","dim5_S_missing",18
21,80,80,1,"Topolow","dim5_S_missing",19
21,80,80,1,"Topolow","dim5_S_missing",20
9,80,80,1,"Topolow","dim5_M_missing",1
9,80,80,1,"Topolow","dim5_M_missing",2
9,80,80,1,"Topolow","dim5_M_missing",3
9,80,80,1,"Topolow","dim5_M_missing",4
9,80,80,1,"Topolow","dim5_M_missing",5
9,80,80,1,"Topolow","dim5_M_missing",6
9,80,80,1,"Topolow","dim5_M_missing",7
9,80,80,1,"Topolow","dim5_M_missing",8
9,80,80,1,"Topolow","dim5_M_missing",9
9,80,80,1,"Topolow","dim5_M_missing",10
9,80,80,1,"Topolow","dim5_M_missing",11
9,80,80,1,"Topolow","dim5_M_missing",12
9,80,80,1,"Topolow","dim5_M_missing",13
9,80,80,1,"Topolow","dim5_M_missing",14
9,80,80,1,"Topolow","dim5_M_missing",15
9,80,80,1,"Topolow","dim5_M_missing",16
9,80,80,1,"Topolow","dim5_M_missing",17
9,80,80,1,"Topolow","dim5_M_missing",18
9,80,80,1,"Topolow","dim5_M_missing",19
9,80,80,1,"Topolow","dim5_M_missing",20
4,80,80,1,"Topolow","dim5_L_missing",1
4,80,80,1,"Topolow","dim5_L_missing",2
4,80,80,1,"Topolow","dim5_L_missing",3
4,80,80,1,"Topolow","dim5_L_missing",4
4,80,80,1,"Topolow","dim5_L_missing",5
4,80,80,1,"Topolow","dim5_L_missing",6
4,80,80,1,"Topolow","dim5_L_missing",7
4,80,80,1,"Topolow","dim5_L_missing",8
4,80,80,1,"Topolow","dim5_L_missing",9
4,80,80,1,"Topolow","dim5_L_missing",10
4,80,80,1,"Topolow","dim5_L_missing",11
4,80,80,1,"Topolow","dim5_L_missing",12
4,80,80,1,"Topolow","dim5_L_missing",13
4,80,80,1,"Topolow","dim5_L_missing",14
4,80,80,1,"Topolow","dim5_L_missing",15
4,80,80,1,"Topolow","dim5_L_missing",16
4,80,80,1,"Topolow","dim5_L_missing",17
4,80,80,1,"Topolow","dim5_L_missing",18
4,80,80,1,"Topolow","dim5_L_missing",19
4,80,80,1,"Topolow","dim5_L_missing",20
24,80,80,1,"Topolow","dim5_S_noise1",1
24,80,80,1,"Topolow","dim5_S_noise1",2
24,80,80,1,"Topolow","dim5_S_noise1",3
24,80,80,1,"Topolow","dim5_S_noise1",4
24,80,80,1,"Topolow","dim5_S_noise1",5
24,80,80,1,"Topolow","dim5_S_noise1",6
24,80,80,1,"Topolow","dim5_S_noise1",7
24,80,80,1,"Topolow","dim5_S_noise1",8
24,80,80,1,"Topolow","dim5_S_noise1",9
24,80,80,1,"Topolow","dim5_S_noise1",10
24,80,80,1,"Topolow","dim5_S_noise1",11
24,80,80,1,"Topolow","dim5_S_noise1",12
24,80,80,1,"Topolow","dim5_S_noise1",13
24,80,80,1,"Topolow","dim5_S_noise1",14
24,80,80,1,"Topolow","dim5_S_noise1",15
24,80,80,1,"Topolow","dim5_S_noise1",16
24,80,80,1,"Topolow","dim5_S_noise1",17
24,80,80,1,"Topolow","dim5_S_noise1",18
24,80,80,1,"Topolow","dim5_S_noise1",19
24,80,80,1,"Topolow","dim5_S_noise1",20
26,80,80,1,"Topolow","dim5_M_noise1",1
26,80,80,1,"Topolow","dim5_M_noise1",2
26,80,80,1,"Topolow","dim5_M_noise1",3
26,80,80,1,"Topolow","dim5_M_noise1",4
26,80,80,1,"Topolow","dim5_M_noise1",5
26,80,80,1,"Topolow","dim5_M_noise1",6
26,80,80,1,"Topolow","dim5_M_noise1",7
26,80,80,1,"Topolow","dim5_M_noise1",8
26,80,80,1,"Topolow","dim5_M_noise1",9
26,80,80,1,"Topolow","dim5_M_noise1",10
26,80,80,1,"Topolow","dim5_M_noise1",11
26,80,80,1,"Topolow","dim5_M_noise1",12
26,80,80,1,"Topolow","dim5_M_noise1",13
26,80,80,1,"Topolow","dim5_M_noise1",14
26,80,80,1,"Topolow","dim5_M_noise1",15
26,80,80,1,"Topolow","dim5_M_noise1",16
26,80,80,1,"Topolow","dim5_M_noise1",17
26,80,80,1,"Topolow","dim5_M_noise1",18
26,80,80,1,"Topolow","dim5_M_noise1",19
26,80,80,1,"Topolow","dim5_M_noise1",20
4,80,80,1,"Topolow","dim5_L_noise1",1
4,80,80,1,"Topolow","dim5_L_noise1",2
4,80,80,1,"Topolow","dim5_L_noise1",3
4,80,80,1,"Topolow","dim5_L_noise1",4
4,80,80,1,"Topolow","dim5_L_noise1",5
4,80,80,1,"Topolow","dim5_L_noise1",6
4,80,80,1,"Topolow","dim5_L_noise1",7
4,80,80,1,"Topolow","dim5_L_noise1",8
4,80,80,1,"Topolow","dim5_L_noise1",9
4,80,80,1,"Topolow","dim5_L_noise1",10
4,80,80,1,"Topolow","dim5_L_noise1",11
4,80,80,1,"Topolow","dim5_L_noise1",12
4,80,80,1,"Topolow","dim5_L_noise1",13
4,80,80,1,"Topolow","dim5_L_noise1",14
4,80,80,1,"Topolow","dim5_L_noise1",15
4,80,80,1,"Topolow","dim5_L_noise1",16
