"log_N","log_k0","log_cooling_rate","log_c_repulsion","Holdout_MAE","NLL"
1.945910149,1.931389302,-2.861662888,NA,0.583651135,1687.009884
2.079441542,2.01425831,-5.027662601,NA,0.57246622,1658.739968
2.48490665,2.234733361,-3.0876081,NA,0.563779996,1636.401816
2.197224577,1.844930106,-2.331565331,NA,NA,NA
NA,NA,-2.586729822,NA,NA,NA
NA,NA,-3.753628717,NA,0.583226873,1685.947482
2.197224577,2.74068724,-2.39190334,NA,0.57286255,1659.751097
NA,2.351967078,-2.319473691,NA,NA,NA
2.079441542,NA,-3.020700651,NA,NA,NA
NA,2.795597328,-4.031603107,-4.0812035,NA,NA
1.791759469,2.56764059,-2.776752118,-3.928747033,0.580650025,1679.478101
2.397895273,2.552682322,-3.611300691,-3.838675605,0.556092989,1616.344373
NA,2.778585961,-2.508272052,-3.767819394,NA,NA
2.302585093,NA,-3.121500287,-3.709421905,NA,NA
NA,2.065613132,-3.289358714,-3.654116884,NA,NA
2.079441542,2.669732941,-3.808684442,-3.583988864,0.578122628,1673.104922
1.945910149,NA,-3.893598989,-3.516349765,0.561985231,1631.743378
NA,NA,-2.614276238,-3.449559401,NA,NA
NA,2.490570244,-3.147790178,-3.39098972,0.586398744,1693.871581
2.397895273,2.855690537,-3.562510249,-3.351817692,0.58060435,1679.363171
1.945910149,NA,-3.37968623,-3.295097507,NA,NA
NA,1.955555922,-4.518079335,-3.285484537,NA,NA
2.397895273,2.454062964,-2.965497216,-3.218940236,0.561265793,1629.871846
2.302585093,2.628820204,-2.549529062,-3.185963359,0.565410043,1640.619883
2.302585093,NA,-2.747865059,-3.157347761,NA,NA
NA,2.299377685,-2.35524546,-3.098080027,NA,NA
2.079441542,2.684839378,-2.410982195,-3.046154126,0.579121615,1675.62733
2.48490665,1.753301244,-4.569727963,-3.027534053,0.559320611,1624.799656
1.945910149,2.120022634,-3.233111519,-3.007248385,0.576982142,1670.219901
NA,2.607425616,-2.644465034,-2.946769028,NA,NA
1.791759469,2.832610421,-2.898362806,-2.912943319,0.598127616,1722.805411
2.197224577,NA,-2.447540617,-2.892055774,NA,NA
2.397895273,2.276656801,-4.205295134,-2.867690829,0.577259515,1670.92208
NA,2.194962562,-2.847776493,-2.843155527,NA,NA
NA,2.72237985,NA,-2.802524007,NA,NA
1.791759469,NA,NA,-2.771754558,0.602153967,1732.607313
NA,2.453001404,-2.674853455,-2.753807048,NA,NA
2.48490665,2.873089457,-2.471303416,-2.712686414,0.569465339,1651.061228
NA,NA,-2.710442297,-2.68456605,NA,NA
2.48490665,2.394393457,-3.441119293,-2.660186249,0.564951528,1639.434615
NA,2.78088332,-4.121312353,-3.257637239,0.580955393,1680.24625
NA,2.700801144,-3.730440185,-3.206365603,NA,1738.107944
2.337773441,2.790129503,-4.146559199,-2.709356472,0.569396214,1657.663682
NA,2.70994305,-4.484370507,-3.182385191,0.594986979,1703.374495
NA,2.08125433,-3.684130199,-3.227806804,NA,NA
1.835725909,2.688042468,-3.213439206,-3.327576445,0.573137725,1644.54147
NA,NA,-2.416161842,-3.149109753,NA,NA
1.87623465,2.831148431,-3.602576524,-3.115717136,0.576236651,1640.925145
NA,2.752506708,-2.813484183,-3.022970602,NA,NA
2.232651909,2.835062577,-3.389774365,-3.677228059,0.572499649,1648.606643
1.721764112,2.755133303,-3.476377768,-3.434021809,0.578626605,1669.793794
1.760715235,2.395082494,-4.240645038,-2.828928689,0.577103552,1665.953641
1.873507996,2.831887445,-3.068105922,-2.939756188,0.574670351,1665.493552
2.227047338,2.611605348,-3.45323255,-2.908136241,0.579991094,1680.116004
2.303626286,2.597882086,-3.333914759,-3.57953185,0.56370664,1631.732001
1.959658697,2.38502186,-3.675562697,-3.264044647,0.568668283,1660.301788
NA,2.442558069,-3.351047169,-2.801539427,NA,NA
2.220189749,2.536564892,-3.411710592,-3.761357447,0.565863817,1644.039439
NA,2.279630601,-3.504732161,-3.733313674,NA,NA
NA,2.632917871,-2.838447284,-3.144040187,0.580924618,1669.818738
1.927608905,2.831279482,-2.71057136,-3.233798113,0.591705885,1696.51912
NA,2.579321152,-3.058961807,-2.878711871,0.585217579,1703.656897
