"log_N","log_k0","log_cooling_rate","log_c_repulsion","Holdout_MAE","NLL"
1.38629436111989,NA,-4.31362497634655,NA,NA,NA
NA,2.08716952216158,-2.84864636312787,NA,NA,NA
2.07944154167984,2.7909201301007,NA,NA,0.583448189747943,1674.95830543394
2.484906649788,2.71445272910928,-3.06740651300507,NA,0.57942145488918,1664.90934481277
1.38629436111989,NA,-2.66995659369344,NA,NA,NA
NA,2.37444619137083,NA,NA,NA,NA
2.484906649788,2.55980876170358,-2.34396518838189,NA,0.578683790830907,1663.06089330585
2.07944154167984,1.6487884929111,-2.63729531961702,-3.68462595228404,0.624744018387744,1774.18688431145
2.39789527279837,2.25109610786275,-3.38862889326544,-3.52764108580809,0.565883868975938,1630.60591213007
NA,2.64329126819432,-3.21946760097388,-3.48441563476717,NA,NA
1.94591014905531,2.34041478651265,-4.28895406873005,-3.36116897676571,0.581851395830468,1670.98173245117
1.94591014905531,2.41643815785425,-2.87407740320814,-3.29016724418608,0.578790354625037,1663.32806828566
NA,NA,-3.175926104019,-3.21090271264078,NA,NA
2.19722457733622,2.79914334741307,-3.05381751761768,-3.10762458015401,0.574509487771482,1652.55625318008
2.30258509299405,2.15831553359163,-4.0794992914604,-3.0071644875979,0.573177224095372,1649.18753688783
1.6094379124341,1.95913749266245,-3.40341087522285,-2.9632771321313,0.591184269613441,1694.07103145228
2.19722457733622,2.26551657771562,-2.4268154128214,-2.89096142049976,0.614349620798164,1749.84227592584
1.79175946922805,1.98696051556218,-2.31783879316198,-2.86259885188424,0.627454024762252,1780.46740105579
1.79175946922805,2.85266254206527,-2.60452450416243,-2.78586092238028,0.58766299560142,1685.40259078429
2.30258509299405,1.75963110425486,-3.8047438724464,-2.75273670235022,0.579627552330189,1665.42536680699
NA,2.4854805481086,-2.50039508179182,-2.67473921167202,NA,NA
2.39789527279837,2.51249857681724,-2.75790340974485,-2.61526626585358,0.568962369726109,1638.47819542831
2.30258509299405,1.56060298791909,-2.78924078938749,-2.60792467657242,0.613110619662634,1746.91298958486
1.94591014905531,1.81880844775935,-2.47773124612466,-2.53691154787676,NA,NA
1.38629436111989,NA,-2.5368855532875,-2.51318499857552,NA,NA
1.38629436111989,NA,-2.96662607548018,-2.47859696532849,NA,NA
1.79175946922805,NA,-3.71191184806087,-2.41646380114695,0.632722162458847,1792.59921628286
2.39789527279837,2.72746920974007,-3.53105619621005,-2.3782530780332,0.578356574743423,1662.24019496252
2.30258509299405,2.61698448227117,-2.38580479573776,-2.34415503723292,0.583831569112736,1675.91143337794
1.6094379124341,2.86527466320907,NA,-2.30631131596484,0.604677784400418,1726.81715107995
1.50925064495598,2.38443651423836,-2.71205527261002,-2.86565616537712,0.623108047151245,1783.80350386252
1.7589051070336,2.16155007667344,-3.22028351189139,-3.05413934212107,0.60529218475095,1729.48183627579
2.33814472665197,2.50238304018215,-3.26927739758265,-3.06527900556583,0.537381023000908,1558.83235969365
2.22219781112351,2.05816666385652,NA,-2.73709697547995,0.570520119810866,1645.84125034104
2.21464353601628,1.90480282350728,-3.21851398696649,-2.80734866045466,0.588431129839535,1687.29795428262
2.1212217857679,2.43708018815281,-3.87099228930076,-2.88219862233123,0.582262509955753,1660.48345903395
2.1000729732382,2.02269857979509,-2.63408785503981,-2.69328240123831,0.598155618103179,1719.33607911415
1.74770245076214,2.40293797335136,-2.89895016686324,-2.46760823880511,0.620689514039885,1755.00961741204
1.54401274241387,NA,-2.44806819485897,-3.05166266937535,NA,NA
NA,2.56621442433214,-3.13134581177253,-2.59979826603874,NA,NA
2.16284798786224,2.56931549752717,-3.20643989957731,-3.05145350260182,0.573391040031679,1652.00263134847
2.35030089595039,NA,-3.48878312518504,-2.70190313323152,0.590997674767852,1709.95383739975
2.13900677787217,2.78012589567585,-2.81741049760352,-3.33797612183704,0.577433049405338,1657.63340355139
1.81767948079847,2.54857863132914,-2.86356082313611,-3.12907531470565,0.570655482064429,1641.65747683808
1.59798135200273,2.08746080182964,-3.01101808109313,-3.01793406324727,0.592285789535374,1708.46589312156
2.07148589921204,2.55194496804954,-2.74527158242589,-2.78865153528273,0.548138163544124,1595.29406808555
2.33795124286008,1.52312187901713,-3.43929656629993,-3.15654113502443,0.582163333995821,1683.28085366237
1.84057625213892,2.84939140588023,-2.84500817774198,-2.88570596710088,0.568944214827087,1645.20694078083
2.08277479272354,2.36179511019315,-2.57708402749226,-3.21308937187638,0.576013855323227,1675.75666882382
1.86195879390025,2.40494621435341,-3.56242321635153,-3.23441865390383,0.558732500075415,1613.26307995185
2.37794590761923,2.24522958441607,-3.42038865001051,-2.7480103724744,0.5792595312123,1667.94522285402
2.0101994799644,2.58364249671367,-2.55077721130339,-2.63580025893331,0.595341131860085,1717.15770453387
1.35963915440157,2.60300142085936,-2.67604435587299,-2.60323530559228,0.610924412551378,1745.33091654267
2.15476921893782,2.14814422116263,-4.08399728535014,-2.74950175652107,0.575899579372691,1657.20419868747
2.29803780091372,1.7504285187328,-3.15183549742915,-2.55669112241012,0.589892083989509,1686.23469968059
2.3892657549184,1.80191745556714,-2.61215010910701,-2.33719633389512,0.628924907552918,1803.53532661853
2.14567281197795,2.4051406722859,-2.92785999817595,-3.10989167496615,0.570256639840365,1634.98629726297
1.35108893347966,2.28350277955866,-2.78904740184539,-3.00742714782434,NA,NA
1.65533440688342,2.39133048934794,-2.68603431128701,-2.57857315924685,0.630548125208571,1786.37300493177
1.98215938660659,2.31604519784068,-2.92847413194542,-2.97702571983987,0.582397726341564,1656.20787560537
2.02082047340139,2.69507554466925,-3.05944503658404,-3.12242685003195,0.548376647299664,1594.83722693698
2.3017587353968,2.21093910598906,-2.51792502527911,-2.97124760164463,0.590158752060059,1692.71760362745
