"log_N","log_k0","log_cooling_rate","log_c_repulsion","Holdout_MAE","NLL"
1.945910149,2.390654685,-5.112684981,NA,0.563581356,1632.527849
1.791759469,1.833679871,-2.767075336,NA,0.586634503,1690.979471
1.791759469,NA,NA,NA,0.561439491,1626.976232
1.945910149,2.765870956,-2.380036694,NA,0.57306178,1656.849958
2.48490665,2.382146719,-4.009339513,NA,0.549461332,1595.533582
NA,NA,-2.69111092,NA,NA,NA
2.48490665,2.879429252,-3.695124248,NA,0.563862531,1633.255075
2.397895273,2.522806583,-2.475156837,NA,0.568339049,1644.784466
NA,2.866639007,-2.985936255,NA,NA,NA
2.302585093,NA,-3.162213963,NA,NA,NA
2.197224577,2.834387351,-3.762451776,NA,0.56835873,1644.834955
2.079441542,2.230013521,-3.382742135,-4.066028538,0.554863501,1609.798272
NA,NA,-3.445685795,-3.979922513,NA,NA
1.791759469,NA,-2.425826231,-3.916388518,NA,NA
2.197224577,2.007440948,-2.432340712,-3.848103791,0.591418448,1702.821093
2.302585093,2.34348763,-3.09142247,-3.77237329,0.560254063,1623.894545
1.791759469,2.43607789,-2.568895494,-3.732677478,0.594587202,1710.612042
NA,2.737238286,-2.65760629,-3.667217613,NA,NA
NA,NA,-2.714013812,-3.604806998,NA,NA
NA,2.045393472,-2.465581631,-3.571931041,NA,NA
NA,1.892736773,-2.921706218,-3.518811956,NA,NA
1.791759469,NA,-3.819463142,-3.499319736,0.567227095,1641.929099
2.197224577,2.776313197,-2.791164825,-3.448797574,0.562535058,1629.818532
2.197224577,1.926038377,-2.620265332,-3.387127058,0.592514688,1705.521108
2.079441542,2.255154087,-3.344335878,-3.344062854,0.567192467,1641.840089
NA,2.633377038,-3.134677176,-3.321283807,0.595865732,1713.743788
NA,2.564908847,-5.394246222,-3.282131038,NA,NA
NA,2.598134595,-2.303595392,-3.260377923,0.600013943,1723.858711
2.302585093,NA,-3.879843585,-3.200399559,NA,NA
2.397895273,2.538522886,-3.283176668,-3.161397069,0.554060244,1607.686046
1.945910149,NA,-2.634052438,-3.136214169,NA,NA
NA,NA,-3.056169156,-3.116647241,NA,NA
2.302585093,2.659311886,-4.168875159,-3.070916959,0.571277155,1652.302379
NA,2.137032776,-2.579426344,-3.066639915,NA,NA
2.48490665,NA,-2.337265851,-3.018629781,NA,NA
2.48490665,2.073803873,-2.857504298,-2.98381303,0.567501852,1642.635163
2.302585093,2.803604394,-2.351880498,-2.964071422,0.580542029,1675.758281
2.48490665,2.209754806,-4.725854322,-2.943107558,0.557685138,1617.193824
NA,NA,-3.243891255,-2.92897135,NA,NA
NA,2.491044109,-2.90429213,-2.88925314,0.587011654,1691.916526
2.079441542,2.168773556,-2.538010432,-2.862358533,NA,NA
NA,2.81373569,-3.55861596,-2.845454479,0.603867014,1733.191522
2.079441542,2.473194379,-3.548909659,-2.808332246,0.584792717,1686.394761
2.397895273,2.683611746,-4.546690238,-2.799635897,0.551113771,1599.911763
NA,NA,-2.39433971,-2.784454526,NA,NA
1.945910149,1.790878095,-4.493363921,-2.742020054,0.575894402,1664.039042
2.197224577,NA,-2.975700785,-2.72240705,NA,NA
NA,2.709111158,-2.506230995,-2.707915209,0.590105221,1699.580049
2.397895273,2.632434656,-2.80737094,-2.68452564,0.565741288,1638.104971
NA,2.291122823,-4.283809834,-2.674521693,NA,NA
NA,2.709479143,-3.687380063,-2.789738828,0.594542372,1724.580317
2.28919334,2.776911865,-3.937447785,-2.700865833,0.567984426,1643.874444
2.462028585,2.641597325,-3.566967567,-3.324385424,0.55755535,1610.200747
2.344701473,2.654247217,-3.21303992,-2.826015507,0.575246906,1682.922288
NA,2.302052089,-3.647848315,-3.47468014,0.602187346,1724.386573
1.669194591,2.531983307,-3.193909942,-2.82839518,0.579236131,1672.474892
2.303799124,2.34710132,-3.915046461,-3.331475493,0.565457425,1649.726527
2.287414551,2.266466515,-4.39273542,-3.652626338,0.569089968,1647.839011
2.385655582,2.651770517,-2.95290924,-3.474860863,0.554606534,1598.086381
1.781906105,2.796243286,-2.396236953,-3.312407335,0.568991532,1656.620684
2.410549361,2.12862352,-2.406614621,-2.895099508,0.59639523,1719.744001
1.788106833,2.071320118,-2.612365289,-2.747408516,0.593175671,1700.121388
1.722487289,2.372167884,-2.541118882,-3.216676266,0.577161598,1678.678837
2.177710857,2.212893259,-2.579687494,-2.97239715,0.599070435,1718.021922
NA,2.113739094,-3.371394943,-3.629454362,NA,1731.541755
1.957062114,2.254526219,-2.813547664,-3.091718965,NA,NA
1.902997997,NA,-2.575035703,-3.524333642,NA,NA
2.15478105,2.556727081,-4.831318581,-2.694920704,0.585290955,1683.006431
NA,2.622264085,-5.307270439,-2.820893614,NA,NA
2.006744678,2.567883745,-3.838107158,-3.583099815,0.566226166,1640.478425
NA,2.667194129,-5.279079077,-3.414855986,NA,NA
