"Holdout_MAE","NLL","log_N","log_k0","log_cooling_rate","log_c_repulsion"
1.38587388886195,445.781836746385,1.94591014905531,1.96738495822653,-8.7341041785698,-7.53093346167358
1.36861619618798,442.555243544386,1.6094379124341,3.15808291132725,-4.24521355584253,-6.95561588190725
1.31073291009714,431.123980555632,0.693147180559945,1.52488885368955,-3.29858378987899,-6.37253526312074
1.36104606261066,442.814423567877,1.79175946922805,3.1866397141052,-3.11221798177843,-6.22834830053006
1.36831571065779,443.262980106664,2.07944154167984,3.53573586571569,-3.45697476824748,-5.75676782576566
1.99864885651627,536.04159222525,1.79175946922805,3.68035401612517,-5.77672717219745,-5.68348831600048
1.36153046440152,443.177302756004,2.30258509299405,3.56656493905924,-3.03219494427319,-5.48578626094152
1.34765503855798,439.155176747943,1.09861228866811,2.86480426780743,-3.44305053106449,-5.28647624022382
1.39198153334218,446.418242371421,0.693147180559945,2.37447498393435,-6.60700088396174,-5.21364319650043
1.37363094929433,443.887932494785,2.30258509299405,3.03716015939135,-3.37608061726958,-5.09613861766682
1.50599872566161,470.477309260125,1.09861228866811,3.41667095589463,-4.77708238551721,-4.98749088718467
1.36528776988955,444.079006571358,1.79175946922805,1.79462056502142,-3.20444962182422,-4.94503961250001
1.37459262717618,444.153177901729,1.94591014905531,2.75217391648159,-3.70250938451361,-4.85787205912775
1.39902733970288,451.784837451528,2.07944154167984,0.571512381578487,-3.72872420994571,-4.79383639230816
1.30944952492308,429.912256348457,0.693147180559945,3.47560228171822,-3.48384441296459,-4.72215272619209
1.39557144849885,446.627227105166,2.19722457733622,3.2196757954672,-4.91783100303021,-4.6103226288257
1.37157590192562,441.163474971183,1.38629436111989,3.61842359459161,-3.05709217234001,-4.54110348242571
1.38575761880048,445.748407746482,2.07944154167984,3.58264749695688,-4.2280011131925,-4.52941746232331
1.37648718409247,444.462063657934,2.30258509299405,1.5953912646742,-4.5049956115476,-4.45753444495741
1.38489195754151,446.224799327403,1.79175946922805,3.25133636684086,-3.58458263908982,-4.39455223573179
1.36521084676161,446.135129830686,1.09861228866811,2.03129869675816,-3.79289108119067,-4.36097567178384
1.37508401625669,443.856678753934,1.6094379124341,2.51969170176991,-3.63564960851701,-4.28852480837395
1.3917301056753,447.000533359549,2.19722457733622,3.36695524082921,-3.49901090525266,-4.24198004995876
1.3691496321874,443.166146212984,1.6094379124341,1.4097122554519,-4.05417219870802,-4.23332466862634
1.3949328765992,447.100189027519,2.30258509299405,3.00435285994088,-3.95816053243599,-4.16971849335014
1.39199450226636,446.983468240674,2.07944154167984,2.58083420787131,-3.22305029992069,-4.15078028148543
1.60782485812739,478.283810620644,1.6094379124341,2.9870962506615,-6.74427988202051,-4.08442824717724
1.39036467892079,445.107747610994,1.38629436111989,2.80697999904864,-4.37434635551943,-4.047164515188
1.36190167966733,445.916334009984,1.09861228866811,2.69098346584415,-3.00588975875583,-4.00967637660417
1.38675990302103,447.187415852055,1.38629436111989,3.25905211085347,-3.25391841603084,-3.99317566690764
1.3696552213462,446.608577943299,1.09861228866811,3.08844194669503,-3.7904060782637,-3.9552542503718
1.39390755910336,446.908941522407,1.6094379124341,3.62793809931976,-3.74468139268708,-3.91047295546486
1.40200174733382,448.523683942458,2.19722457733622,3.32174334957602,-3.82440357699048,-3.90365892405106
1.53862519367981,467.880294757429,0.693147180559945,2.88091929634616,-5.69715968969452,-3.87359451251757
1.42219858324871,449.651708400865,2.19722457733622,2.62926474143524,-5.36725529744566,-3.83037838088591
1.40710110703619,449.740082540812,2.19722457733622,1.74942227501077,-3.14175715265108,-3.80332372697412
1.65648072608725,497.547387304668,1.38629436111989,3.37848775750478,-5.24611875330378,-3.78934347535565
1.45370506232424,463.537854924043,1.94591014905531,3.52611876859035,-4.97244067459856,-3.75337425911
1.3848192291831,448.39564575307,1.6094379124341,1.85955678847043,-3.3356100496966,-3.7224825150718
1.414867215388,450.209021614384,2.07944154167984,3.27298898674683,-3.04186720257366,-3.70846851730778
1.40995480557869,450.258896269183,1.94591014905531,3.11749907310212,-3.66703322692615,-3.66919902410616
1.38490244117685,447.734682626909,1.09861228866811,2.43371270711927,-4.10866034657105,-3.64953595108142
1.41047367203078,449.229188946162,2.30258509299405,3.63913012844762,-4.03025713394275,-3.62547843419782
1.41942884347477,447.784882893192,1.38629436111989,3.44949991408534,-3.01310127731121,-3.59818991270194
1.41134922438262,449.754587008014,2.19722457733622,2.82893062736953,-3.41411157664482,-3.57508338079897
1.40708156520077,448.266152179717,2.07944154167984,2.14552674379843,-3.97856116732611,-3.55336454273593
1.42132927682015,450.430920438357,1.6094379124341,2.23597723711651,-5.16418214652429,-3.54299811992027
1.40929281807569,449.35909147259,1.09861228866811,3.10032070160933,-4.59529074106305,-3.51837422285588
1.77907744404455,520.143788330229,0.693147180559945,3.55819502608362,-4.40246499996079,-3.50046319221684
