"log_N","log_k0","log_cooling_rate","log_c_repulsion","Holdout_MAE","NLL"
NA,2.02402563946978,NA,NA,0.594170123079607,1713.1066279244
2.63905732961526,2.66962866869288,-2.37244788699019,NA,0.558933643025154,1623.78850788574
2.19722457733622,1.81171813076687,-2.94191595759186,NA,0.570370168770598,1653.38078443117
NA,2.08298830011886,-2.59361375967725,NA,NA,NA
1.94591014905531,NA,-3.6361380945953,NA,0.586491815397843,1694.10344790587
NA,2.8102386318062,-3.60414016424229,NA,NA,NA
2.56494935746154,2.22960748839501,-4.28041047700394,NA,0.556878481873865,1618.40660931987
1.94591014905531,2.45948007498119,-2.53754904157562,NA,0.564890137233391,1639.27584617231
1.79175946922805,NA,-2.75823180590953,NA,NA,NA
1.6094379124341,2.88856984377073,-2.40925566661126,NA,0.576274929911462,1668.42804237457
2.56494935746154,2.85782350619238,NA,NA,0.578397900546795,1673.80041022004
2.07944154167984,1.67040792865617,-2.45992616216425,NA,0.605412486758224,1740.49211035875
1.38629436111989,2.36923382040728,-3.69731055805719,NA,0.613922328748759,1760.88532943963
2.484906649788,2.32355398709371,-2.92885790848219,NA,0.565547510435604,1640.97505065064
2.30258509299405,2.73046561952164,-3.31887729356494,-3.73375192070087,0.563783854349376,1636.41181311548
2.19722457733622,2.00630376482709,-4.35526944067375,-3.63425306230277,0.572210468831205,1658.0871143392
NA,NA,-2.85035064227276,-3.60371896477558,NA,NA
2.39789527279837,2.62491308759705,-2.64654389515861,-3.53952009475554,0.571648831956392,1656.65240722185
2.63905732961526,NA,-4.93231331546566,-3.48346756497384,0.558620922783508,1622.97085781487
2.30258509299405,NA,-2.54853965486088,-3.43958361321019,NA,NA
1.6094379124341,1.45426787384575,-4.01391937323646,-3.39029695773912,0.598802851221611,1724.45382519545
1.38629436111989,2.25166651096986,-2.79610617517367,-3.34081289353861,0.613966138114575,1760.98958236684
1.6094379124341,1.78572592295759,-3.19376755993523,-3.26302295839418,0.596296578311694,1718.32601691635
2.07944154167984,2.55602020920058,-2.83753188718061,-3.22019121989977,0.57582034205558,1667.2750945098
2.63905732961526,1.86189262746878,-2.36582304712755,-3.18881282197476,0.608903441638844,1748.89239402809
2.56494935746154,1.59210012486875,-2.67904346462878,-3.17504465472369,0.620132011991428,1775.58877237722
1.94591014905531,2.4392802683952,-3.46267479772277,-3.13575096499076,0.570653038867264,1654.10517499032
1.38629436111989,2.493012078466,-2.34761697697853,-3.07194181838834,NA,NA
2.39789527279837,1.94336249105558,-2.71949361659131,-3.05791062538629,0.585140384275918,1690.73303568039
2.19722457733622,2.76330559423711,-2.47171217335861,-3.02091054387188,0.575041938035319,1665.29875300188
NA,2.30537923449654,-3.40183172571791,-2.97737991960167,NA,NA
1.79175946922805,1.61413811585639,-2.77663939365041,-2.93172551710267,0.61333244732422,1759.48086665908
2.39789527279837,2.77436348437735,-4.09168755852198,-2.92174539170612,0.556564825743302,1617.58348412663
NA,1.40936013146025,-2.30929527451125,-2.89592819198131,NA,NA
2.484906649788,2.48654272058045,-2.52112567383382,-2.84105392088971,0.577281334473386,1670.97730240361
2.56494935746154,2.39381924266404,-3.16040021299764,-2.81652930905121,0.564283010471393,1637.70476332013
2.30258509299405,1.53410881523253,-3.88335449619043,-2.79706651685732,0.581805028374056,1682.38137125914
1.79175946922805,NA,-3.54406766170832,-2.76237397001921,NA,NA
1.79175946922805,2.83790120477563,-3.06640066609972,-2.7328298417556,0.578918223638288,1675.11412575895
2.07944154167984,2.69712810214348,-4.50002872826291,-2.71826403269606,0.595586279760584,1716.58466071008
2.63905732961526,2.36117964290115,NA,-2.69273084997815,0.559074498682998,1624.15664494937
2.39789527279837,2.20133629011294,-3.30404849772616,-2.66800054913163,0.553176877798707,1608.66283653957
2.484906649788,2.86925297443371,-3.22197253785185,-2.64552927366155,0.559141115571155,1624.33072099065
2.19722457733622,2.15441391414298,-2.4853122799591,-2.61865866838585,0.589742154226342,1702.17795899529
2.484906649788,NA,-3.00744830671854,-2.60206271564459,NA,NA
2.07944154167984,1.72570002981938,-3.0609540471817,-2.58394928020481,0.599627554311594,1726.4646076307
1.6094379124341,NA,-2.57964719597561,-2.56163517963799,NA,NA
2.484906649788,2.567207129765,-3.38918307932616,-2.53674551309589,0.574800172770202,1664.68437463772
NA,NA,-2.97263860764373,-2.52083640680076,NA,NA
1.38629436111989,1.90746492342701,-2.32779245980744,-2.49557685362564,NA,NA
2.63905732961526,2.79351966030105,-2.39611153408345,-2.48185656005899,0.575558789366474,1666.61131925988
NA,2.65935181492426,-2.42688346892948,-2.45815885372485,NA,NA
1.6094379124341,2.17498544156749,-4.70434462389817,-2.44192143017254,0.602286099453595,1732.9278685727
2.19722457733622,2.11732008424784,-3.79551988920379,-2.40925902089062,0.566670981552751,1643.87447660504
NA,2.74951094277658,-3.95516736188341,-2.40133412884751,NA,NA
1.94591014905531,2.71749102314219,-2.61739525928433,-2.3821816573873,0.579252928834602,1675.95856797181
