"Dataset","Algorithm","Mean","SD","Median","Q1","Q3"
"H3N2","MDS",-0.361252889446196,1.08087246795305,-0.303524293312355,-0.97411378755703,0.304659965069592
"H3N2","Topolow",-0.325889928017351,1.06653232042686,-0.262944953290606,-0.9280348383993,0.303942125870409
"HIV","MDS",-2.12153010596111,1.8259778267808,-2.00702470345929,-3.11299538010134,-0.940473725908065
"HIV","Topolow",-0.989015230998601,1.33976579905934,-0.998615391104933,-1.83735136952512,-0.107890328201182
