"type","name","",""
"antigen","0013095_2_11","2.30434314585509","0.592504454408575"
"antigen","001428_2_42","-0.604835215468593","0.882718012360649"
"antigen","0077_V1_C16","3.91682759016526","0.586767728509391"
"antigen","00836_2_5","-2.12891966334272","-2.77402279989257"
"antigen","036_BT_SGA4","-0.367568547277439","-0.551332851829266"
"antigen","079_LN_SGA3","1.64838527270645","-3.51854925897418"
"antigen","079_LN_SGA9","-0.49450723885415","-1.75891033290391"
"antigen","079_PBMC_SGA12","0.448797566797137","0.987350276175786"
"antigen","079_PBMC_SGA17","1.23059876757747","-2.90597785584586"
"antigen","079_PBMC_SGA7","0.835435810973415","-3.3222968863034"
"antigen","0921_V2_C14","2.58075628702189","1.36282839836432"
"antigen","093_AT_SGA1","-0.206149341730154","1.0590624949208"
"antigen","093_BT_SGA13","-1.45459417990434","-0.728138802521713"
"antigen","093_BT_SGA3","0.0247416892142316","1.38984827799986"
"antigen","100002I_2_1","-1.29105938060854","-1.77240953202794"
"antigen","100014I_2_20","0.691729759918313","-1.72300937435168"
"antigen","100046I_3_2","1.96107058626416","-0.791928915660621"
"antigen","100052I_2_15","1.53249102375384","-2.7559716420839"
"antigen","100155I_21","0.707718399082497","-2.40201245706722"
"antigen","100307I_2_26","1.21248315065093","-1.56885418740541"
"antigen","100307I_2_7","-0.309463084214062","-1.52457076017216"
"antigen","100383I_3_5","-0.907913388225774","-2.36917506165114"
"antigen","100504I_20","-1.59019086510636","-2.23446011063851"
"antigen","1006_11_C3_1601","-0.75144898994019","-2.39521482166336"
"antigen","100890I_2_1","-0.832867982450062","-2.10497490263165"
"antigen","100890I_2_4","-1.13515650609991","-2.26970388564439"
"antigen","100997I_2_18","0.99146279141797","-3.3469318558954"
"antigen","100997I_2_2","-0.774855253705126","-4.02063942214875"
"antigen","1012_11_TC21_3257","0.632412831479173","0.638016622528809"
"antigen","101421I_2_11","-0.694096043276071","-1.99183911422414"
"antigen","101421I_2_23","-0.460306982337358","-2.31346662840645"
"antigen","101984I_10","-0.656287233303534","-0.672803874451096"
"antigen","101984I_21","-1.78799472014306","-0.115018104807214"
"antigen","102_AT_SGA1","0.499957431742856","0.838320510150484"
"antigen","102_BT_SGA3","1.92751261440638","-3.0934264055278"
"antigen","102149I_2_23","1.26933875715246","-0.289900286795553"
"antigen","102407I_2_1","2.11561719056696","-2.17425976903432"
"antigen","102605I_33","-1.67006691198356","-2.62449650302971"
"antigen","1054_07_TC4_1499","-2.59211595483995","-1.71361315827658"
"antigen","1056_10_TA11_1826","3.80453015512043","-1.91741083196324"
"antigen","1170887_08","1.86100719282588","2.01089576180174"
"antigen","1394_C9G1","0.234558899859894","1.02578976715291"
"antigen","16055_2_3","2.3019242503428","-0.501509525310842"
"antigen","16055_2_3_DELGLY3_197","2.21290516886863","1.23168676500764"
"antigen","16055_2_3_DELGLY3_276","2.52627828637865","0.697004758590205"
"antigen","16055_2_3_DELGLY3_463","2.31279540759432","1.65799758151531"
"antigen","16055_2_3_DELGLY4","2.36463601841604","1.86070776088491"
"antigen","16845_2_22","-2.60348471206518","0.637796596758043"
"antigen","16936_2_21","-0.110896147129246","0.737414537118363"
"antigen","186_AT_SGA1","-1.93714755642258","-0.566336693216217"
"antigen","186_AT_SGA5","-2.06068638455907","-1.02819189131103"
"antigen","186_BT_SGA1","2.46113939012427","-2.08421859722838"
"antigen","19707346_E8_C6","3.13190681548709","0.132129742253126"
"antigen","20286961_C1_H8","1.23628244393683","0.416359083542411"
"antigen","20883229_C9_H6","-2.41736565076393","-0.108725093359813"
"antigen","20915593","1.9725621695024","3.12515588125047"
"antigen","20927783","-1.17941671319538","2.59237619973762"
"antigen","20965238","-2.07456595210963","-1.90460237533491"
"antigen","21197826_V1","-4.6941771194986","0.0720215586292902"
"antigen","21283649","4.7759175181834","-0.170911477251424"
"antigen","21492713_B11_E3","-1.73386863673497","-1.49668781565605"
"antigen","21502011_F12_E2","-2.78363534258299","-0.522935470166896"
"antigen","21561324_D3_B5","0.944817401675374","1.98980368291127"
"antigen","234_F1_16_57","1.67335075765757","2.50631347903028"
"antigen","249M_B10","2.68152296390046","1.58767834371366"
"antigen","25710_2_43","0.642425323628152","0.731610019199151"
"antigen","25711_2_4","0.702194078424413","0.684772110065517"
"antigen","25925_2_22","0.661322556172154","0.69950026611797"
"antigen","26191_2_48","0.754994565717288","0.937064742649361"
"antigen","288_38","1.29469535463342","0.530164440020273"
"antigen","2969249","-4.51919692599876","-3.79628023921835"
"antigen","304_F2_1_11","3.03324576475102","1.42908005991538"
"antigen","3168_V4_C10","1.68523528832733","1.34311928814693"
"antigen","318_TF_SGA2","-0.452841573858733","0.170428621619732"
"antigen","329_14_B1","1.64835755701928","1.4201013073735"
"antigen","329_14_B4","-0.194244662026195","1.35723667360831"
"antigen","329_15_A1","3.0587622359892","0.474586726761334"
"antigen","329_15_B1","-1.32473525563874","1.86546444074612"
"antigen","329_16_C1","-2.07430815503678","1.68872299131501"
"antigen","329_16_D5","-2.75203763750284","1.71936850345563"
"antigen","330_14_A12","-0.412419278641867","2.87907386668921"
"antigen","330_14_A20","-0.933566146573095","2.98212429284844"
"antigen","330_15_C36","-2.71167899756608","2.5099422355007"
"antigen","330_15_D36","-2.66676875936414","2.6813224849815"
"antigen","330_15_E36","-2.26622858212304","3.70296062180126"
"antigen","330_16_A2","-3.15594705295141","1.63607257157133"
"antigen","330_16_D4","-3.74798541328036","1.51628115470478"
"antigen","330_16_E6","-1.76045526094117","-0.126298584957709"
