"Holdout_MAE","NLL","log_N","log_k0","log_cooling_rate","log_c_repulsion","source_file","true_dim","matrix_type","N"
0.0157461599408297,-14403.9478362888,1.15386758157091,3.31418019360925,-4.82111659779344,-3.52374748553054,"synthetic_AMC102_dim2_S_missing_model_parameters.csv",2,"S_missing",3
0.607414662148236,13444.068836692,1.09861228866811,2.7157938683261,-3.74833613690108,-3.00905333209129,"synthetic_AMC202_dim2_S_noise1_model_parameters.csv",2,"S_noise1",3
0.63878382455819,13994.5728329487,1.10433940040772,2.9385384265116,-3.07889449608164,-3.28574095773929,"synthetic_AMC202_dim2_S_noise_bias_model_parameters.csv",2,"S_noise_bias",3
0.0446955020281037,-8675.1564158595,1.14444124380131,3.36133384191382,-3.93533029667056,-3.76131262386912,"synthetic_AMC201_dim2_M_missing_model_parameters.csv",2,"M_missing",3
0.550870363631793,6757.94796674482,1.47208469604385,2.82497710605104,-3.30552161062978,-3.44705425520099,"synthetic_AMC203_dim2_M_noise1_model_parameters.csv",2,"M_noise1",4
0.575444153178616,7041.65743774819,1.23285625869408,2.9615309852412,-3.38096174239829,-3.51032750157153,"synthetic_AMC201_dim2_M_noise_bias_model_parameters.csv",2,"M_noise_bias",3
0.321443920068022,748.008097190876,1.48440215125802,3.29087306260771,-4.57846175057619,-3.21793238864384,"synthetic_AMC101_dim2_L_missing_model_parameters.csv",2,"L_missing",4
0.781165647423594,3684.86441177731,1.32581545629747,3.33123138097448,-3.5168525438868,-3.72423358377112,"synthetic_AMC202_dim2_L_noise1_model_parameters.csv",2,"L_noise1",4
0.781360994397747,3673.93008003001,1.08892847821846,3.00122141018754,-3.15126476628591,-3.85276691997094,"synthetic_AMC203_dim2_L_noise_bias_model_parameters.csv",2,"L_noise_bias",3
0.034063581512708,-18733.9873734289,1.767929302032,2.18913852725978,-5.64032633594979,-3.97206654536634,"synthetic_AMC203_dim5_S_missing_model_parameters.csv",5,"S_missing",6
1.08400871163189,19872.0283845463,1.89674289551322,3.25350584483385,-3.39191349034216,-3.57526565550378,"synthetic_AMC202_dim5_S_noise1_model_parameters.csv",5,"S_noise1",7
1.10867666618303,20203.1468424538,1.77904891877366,3.18852367560886,-3.71737201986052,-3.27072312518939,"synthetic_AMC201_dim5_S_noise_bias_model_parameters.csv",5,"S_noise_bias",6
0.222574963708734,617.72499283359,1.82697421960796,2.6115600096027,-4.86143056704833,-4.02104525244422,"synthetic_AMC102_dim5_M_missing_model_parameters.csv",5,"M_missing",6
1.22469735935616,11873.65181002,2.99741851062797,3.26652480782578,-3.65968748040227,-3.70689394116308,"synthetic_AMC203_dim5_M_noise1_model_parameters.csv",5,"M_noise1",20
1.20098900614861,11679.9212463908,2.30321137660637,3.00724184334333,-3.77919881663404,-3.41583917489491,"synthetic_AMC201_dim5_M_noise_bias_model_parameters.csv",5,"M_noise_bias",10
1.84671337383601,5627.99343145406,2.72036330967174,3.29425552115374,-4.19594760175424,-3.46153688029213,"synthetic_AMC201_dim5_L_missing_model_parameters.csv",5,"L_missing",15
1.85906592791152,3145.98103987722,3.00338451727598,3.353925017789,-3.36038386756499,-3.71573923114356,"synthetic_AMC102_dim5_L_noise1_model_parameters.csv",5,"L_noise1",20
1.89344476402064,5779.89999830355,2.80583922553421,3.07854130920828,-4.70369236563377,-3.52750863191302,"synthetic_AMC201_dim5_L_noise_bias_model_parameters.csv",5,"L_noise_bias",17
0.249785332083372,3423.15240459741,2.65024259066881,2.50501330067454,-5.66132719239997,-3.76333683435894,"synthetic_AMC203_dim10_S_missing_model_parameters.csv",10,"S_missing",14
1.73728910230336,25216.66281957,3.3289683319354,2.44327094329152,-4.69865412512033,-3.74900736340332,"synthetic_AMC201_dim10_S_noise1_model_parameters.csv",10,"S_noise1",28
1.69024501177195,13130.6824040901,3.20376643868311,2.77765208162916,-4.03639251716695,-3.12805816954633,"synthetic_AMC101_dim10_S_noise_bias_model_parameters.csv",10,"S_noise_bias",25
1.08838053075307,5689.08166519978,3.20773477208627,2.55072443388367,-4.90593941236299,-3.25419719274491,"synthetic_AMC101_dim10_M_missing_model_parameters.csv",10,"M_missing",25
1.86095847106364,14297.3675694805,3.36060697054374,2.59167727812094,-5.41957457244333,-3.08783380516544,"synthetic_AMC201_dim10_M_noise1_model_parameters.csv",10,"M_noise1",29
1.77146950815752,13875.124213029,2.97591505154731,2.65733174256436,-3.92713494975868,-3.48183110807653,"synthetic_AMC202_dim10_M_noise_bias_model_parameters.csv",10,"M_noise_bias",20
2.61249660282616,6617.71302275604,2.33957256887525,2.19837919751061,-4.58586347206174,-3.35752441468119,"synthetic_AMC203_dim10_L_missing_model_parameters.csv",10,"L_missing",10
2.75438183408794,6871.39781438187,2.7961702379656,1.88459737866506,-4.38939856058801,-3.60626680572639,"synthetic_AMC201_dim10_L_noise1_model_parameters.csv",10,"L_noise1",16
2.61943019363259,6757.12855395288,2.3770471518021,2.0220494090935,-5.12658400524485,-3.48442077773272,"synthetic_AMC202_dim10_L_noise_bias_model_parameters.csv",10,"L_noise_bias",11
