"","Holdout_MAE","NLL","log_N","log_k0","log_cooling_rate","log_c_repulsion","true_dim","matrix_type","N"
"690",0.0924112978503185,-19.9624068281097,1.17886902021048,2.92563919746144,-4.38719455493399,-3.65433323367491,2,"S_missing",3
"552",0.708468627533008,40.454930388161,1.21775832135879,2.45339461002572,-3.39491773807826,-3.80577825528223,2,"S_noise1",3
"462",0.735359437073368,41.5725393385866,1.23616990007203,2.26596927949465,-3.25672393328112,-3.83687704497346,2,"S_noise_bias",3
"1864",0.43066797678546,14.462398768425,1.22962616139944,3.2050769054711,-4.27689836590865,-3.24140629169164,2,"M_missing",3
"1185",0.947400106593068,29.5040412824149,1.74424962415116,3.21423726763775,-3.26033373394571,-3.48071293788374,2,"M_noise1",6
"1962",0.859419333501676,27.7496796451825,1.3847794496901,2.72834131767207,-3.69833652306422,-3.15343384421216,2,"M_noise_bias",4
"1050",1.68469322908877,13.2883840074083,1.50196787536173,0.888912301732394,-4.41257909445285,-3.53015178811619,2,"L_missing",4
"714",1.4460399871842,14.4338317029796,1.12368419531183,2.59712528061537,-4.53501879893486,-3.64019636052908,2,"L_noise1",3
"705",1.5240498543867,14.8016284509906,1.23066346719041,1.59731712788216,-3.96045235139918,-3.78794177823282,2,"L_noise_bias",3
"1141",0.759428252889845,41.1207748343978,2.61268649156541,2.70222679351322,-4.50626402308518,-3.206579918212,5,"S_missing",14
"1948",1.41388625563239,61.1846790971243,2.28514802122991,2.25551071075638,-3.88182498030358,-3.03816487819519,5,"S_noise1",10
"1639",1.39748981966537,60.8347446571375,2.38769231657472,2.44926361172384,-4.18638108616156,-3.22071839715905,5,"S_noise_bias",11
"1669",1.71947983297864,35.7627040473521,2.3384703447469,3.28762171542779,-4.32816510830471,-3.41543788996432,5,"M_missing",10
"853",1.83736322436679,39.1251378009847,1.92011941792885,2.95050826459811,-5.34986096585093,-3.03394952237978,5,"M_noise1",7
"2022",1.79758536180402,38.7530551468605,2.05576764733218,2.58802549021774,-4.47490193967546,-3.14483452378079,5,"M_noise_bias",8
"1554",2.35496064822882,15.2980271880427,0.963556760365214,1.31588656824636,-4.18355999723805,-3.13394690688058,5,"L_missing",3
"243",2.71322836384773,21.5302910769227,1.43407079633511,2.58583443316894,-3.48853814395363,-3.82813074801361,5,"L_noise1",4
"1391",2.42511485875842,20.6322085461135,1.11546217545413,2.43380194997195,-3.20749449765056,-3.52599109653555,5,"L_noise_bias",3
"1822",1.43799252847051,59.6354620779372,2.69278536331709,3.13039071996825,-4.08624295831178,-3.32237748756606,10,"S_missing",15
"685",2.10565429009471,75.5709762074264,2.6006604327279,1.55078575851883,-4.23839446818388,-3.76484413189481,10,"S_noise1",13
"1927",2.06514259592708,74.9687402075033,2.68244358809474,3.06121713229315,-3.32585289196558,-3.12240785009151,10,"S_noise_bias",15
"1784",2.38047118121357,46.0880212310753,2.05672514233393,2.26945569156548,-4.07815563130245,-3.43518580985081,10,"M_missing",8
"847",2.51269278365268,49.6755414354578,2.40261969110253,3.12917044944474,-3.7101666695845,-3.13961988936604,10,"M_noise1",11
"1666",2.57966449414125,50.1753240701307,2.20272104452115,2.61455358233739,-4.28668701141149,-3.43050862402315,10,"M_noise_bias",9
"1321",3.52541146726456,17.7188660298838,1.24970984528192,2.6477885924826,-3.95896503244798,-3.25800524113546,10,"L_missing",3
"1493",3.0313616726848,19.6151136724084,1.17744671724376,2.35712875473196,-3.7283182389582,-3.03603734346077,10,"L_noise1",3
"1286",2.98842296601977,19.5152509489378,0.973973749650492,2.49021078410816,-4.40834997502547,-3.37129296775219,10,"L_noise_bias",3
