"type","name","","","",""
"antigen","A/Bilthoven/15793/1968","2.00824013144916","-10.2036006033808","5.59850999867758","0.14563168354254"
"antigen","A/Bilthoven/16190/1968","0.212177323817265","-10.0489674246997","6.19176700744126","-0.963024703811828"
"antigen","A/Bilthoven/16398/1968","0.0445289723924083","-10.0312437406826","5.69485191572098","0.805314723349302"
"antigen","A/HongKong/1/1968","0.196323792010014","-11.371186250683","5.88086174019322","1.83716056592801"
"antigen","A/Bilthoven/17938/1969","0.231069891641016","-10.833111927868","6.44356433880632","0.120240933468244"
"antigen","A/Bilthoven/808/1969","0.514323195073343","-9.52386350174932","3.44438011124645","-0.349283796437689"
"antigen","A/Bilthoven/908/1969","-0.0102806257403179","-10.8911359565099","5.5017336517712","0.929852369698704"
"antigen","A/Bilthoven/2668/1970","1.15656325513153","-11.2696773815331","6.34580829544644","-0.369691048892174"
"antigen","A/Bilthoven/93/1970","NaN","NaN","NaN","NaN"
"antigen","A/Bilthoven/21438/1971","-0.367444995250928","-10.0913289906829","5.76444195634923","0.971578748761389"
"antigen","A/Bilthoven/21801/1971","-0.345838969163498","-10.0588841998092","5.80404314742013","0.866093878161789"
"antigen","A/Bilthoven/6449/1971","NaN","NaN","NaN","NaN"
"antigen","A/HongKong/107/1971","-1.56707040337927","-9.19762169600893","7.18146096852111","1.71280874074716"
"antigen","A/Bilthoven/21793/1972","-0.054089567562275","-7.25712421901546","6.35569993266241","-0.726020809439177"
"antigen","A/Bilthoven/23290/1972","-0.936455777114749","-7.76383612017482","5.69328890344737","-1.70787955808881"
"antigen","A/Bilthoven/23337/1972","0.259697391823252","-7.15229490437172","6.96672065073646","-0.75665624959925"
"antigen","A/Bilthoven/6022/1972","-0.98299114140586","-9.16395920062476","5.99332311002956","0.711795192777121"
"antigen","A/England/42/1972","0.608634680153374","-6.99144106946499","5.64220982444248","1.1336556112061"
"antigen","A/Bilthoven/3517/1973","0.102592042033608","-7.27202911083464","6.76310739402155","-0.225442045191641"
"antigen","A/Bilthoven/552/1973","-0.949912711477975","-7.43590444768841","5.07425250069214","-1.03281944671552"
"antigen","A/Bilthoven/748/1973","0.101637240868113","-6.86635302532188","6.9654542002317","-0.93561277527667"
"antigen","A/PortChalmers/1/1973","0.885794122830992","-5.98612832343825","5.68304245022103","-1.37626678880175"
"antigen","A/Bilthoven/5146/1974","-0.38151572065748","-5.76220937395514","7.23904625819107","-0.0177063717309003"
"antigen","A/Bilthoven/5930/1974","0.225922656784587","-6.87375855789117","6.6223341667961","-1.62604095861087"
"antigen","A/Bilthoven/5931/1974","2.39469000586036","-5.54814030751746","6.29300991191009","-1.09769477923749"
"antigen","A/Bilthoven/7398/1974","0.32855870849296","-5.67641158462509","6.84617304133836","-0.930388199804915"
"antigen","A/Bilthoven/9459/1974","-0.124330760039589","-6.6345309266083","5.95415295231408","-1.4617448177732"
"antigen","A/Bilthoven/1843/1975","0.722389309384425","-6.23638843061176","6.54261301107171","-2.08282625050958"
"antigen","A/Bilthoven/2600/1975","-1.60386695348824","-6.14996921419698","6.03303923551305","0.144088029844955"
"antigen","A/Bilthoven/2813/1975","-0.233855589855414","-7.05731295459101","6.6868513848635","-2.11417840693479"
"antigen","A/Bilthoven/334/1975","1.45039757621502","-4.64064508160402","6.81013324555864","-0.886497967786564"
"antigen","A/Bilthoven/4273/1975","-1.80477904799906","-5.86107056468136","6.34574962091148","0.4497777569827"
"antigen","A/Victoria/3/1975","0.83498745257851","-5.25109326580338","3.62148595080855","-1.52508565758318"
"antigen","A/Bilthoven/1761/1976","0.997887747516334","-4.54885198083865","2.18743561704681","-0.287858722644525"
"antigen","A/Bilthoven/2271/1976","-1.1305028930402","-4.98390145310703","1.21954856281393","-2.54769931126673"
"antigen","A/Bilthoven/5029/1976","1.91489366890162","-4.35236006802579","1.77921711318101","-0.701458953129438"
"antigen","A/Bilthoven/5168/1976","1.84054394861348","-4.24328362599272","3.98325825459703","-1.67896763512294"
"antigen","A/Bilthoven/5657/1976","1.20828152466087","-4.44008890455359","1.91678638718212","-0.592648607428537"
"antigen","A/Bilthoven/6545/1976","1.21682466389257","-4.77655806976033","1.81151822459156","-0.539747795947049"
"antigen","A/Amsterdam/1609/1977","1.37052305090856","-4.98499440776009","2.64935129281869","-1.07703865887864"
"antigen","A/Bilthoven/3895/1977","0.722374334035022","-4.87334274277114","1.96020743658389","-0.705627232368839"
"antigen","A/Rotterdam/5828/1977","0.666036072601928","-5.73268278203832","2.51075814694821","0.332393451861341"
"antigen","A/Rotterdam/8179/1977","0.864826276999361","-5.21157877867276","2.22899515352129","-0.485763294640149"
"antigen","A/Texas/1/1977","0.742796510024879","-5.93563902031996","-0.0660608784291812","-3.31761643524881"
"antigen","A/Bangkok/1/1979","-0.59431911212854","-5.63757279223627","-3.43689602410422","-4.04584820115146"
"antigen","A/Netherlands/209/1980","-0.107051449385258","-4.93027761010797","-1.64498058553989","-3.17235575253764"
"antigen","A/Rotterdam/577/1980","0.0109826576160372","-4.97750127038128","-1.63426468929676","-3.25344086734224"
"antigen","A/Bilthoven/4791/1981","-1.73497413286647","-3.49775395293762","-1.68371919880614","-4.27312137116413"
"antigen","A/Lyon/2380/1981","-1.48419572936575","-3.99948293812096","-1.6076581966165","-4.58853388989664"
"antigen","A/Auckland/4382/1982","-1.33914462328923","-4.28846003488144","-1.49680491669883","-4.73729462848015"
"antigen","A/Bilthoven/10684/1982","-1.71313667220812","-3.89379904307619","-1.62527300408505","-4.66890468782254"
