"Dimension","MAE","Completeness","OriginalDimension","Variant","Algorithm"
8,4.82407761351342,100,5,"S_noise1","MDS"
9,4.82407761115007,100,5,"S_noise1","MDS"
10,4.82407761223985,100,5,"S_noise1","MDS"
11,4.82144190497127,99.9655172413793,5,"S_noise1","MDS"
12,4.8134864979753,99.8058601299888,5,"S_noise1","MDS"
2,4.03172034489758,100,5,"M_noise1","MDS"
3,3.77346130962626,100,5,"M_noise1","MDS"
4,3.67166226088017,100,5,"M_noise1","MDS"
5,3.64795565232102,99.9382716049383,5,"M_noise1","MDS"
6,3.6407390423389,99.7057630632065,5,"M_noise1","MDS"
7,3.64245214661998,99.3878769318545,5,"M_noise1","MDS"
8,3.64088518763609,98.1614497334135,5,"M_noise1","MDS"
9,3.637988735947,96.6285900432312,5,"M_noise1","MDS"
10,3.64581620956121,94.8514211177658,5,"M_noise1","MDS"
2,3.7749155238494,98.3856195077275,5,"L_noise1","MDS"
3,3.36327292475731,93.991160750687,5,"L_noise1","MDS"
2,5.55961800100505,100,5,"S_noise_bias","MDS"
3,5.37567469785084,100,5,"S_noise_bias","MDS"
4,5.33520617338205,100,5,"S_noise_bias","MDS"
5,5.31156777634096,100,5,"S_noise_bias","MDS"
6,5.31019707991395,100,5,"S_noise_bias","MDS"
7,5.31017112321002,100,5,"S_noise_bias","MDS"
8,5.31025934552886,100,5,"S_noise_bias","MDS"
9,5.31025934167269,100,5,"S_noise_bias","MDS"
10,5.31025933459078,100,5,"S_noise_bias","MDS"
11,5.3045189182842,99.8543513308834,5,"S_noise_bias","MDS"
12,5.29989559269058,99.783952211158,5,"S_noise_bias","MDS"
2,4.21356617405806,100,5,"M_noise_bias","MDS"
3,3.96645870973094,100,5,"M_noise_bias","MDS"
4,3.87863757008257,100,5,"M_noise_bias","MDS"
5,3.8464580398875,99.9390243902439,5,"M_noise_bias","MDS"
6,3.83949061485735,99.778905294556,5,"M_noise_bias","MDS"
7,3.83642878654764,99.4780244772538,5,"M_noise_bias","MDS"
8,3.8391897995035,98.4265326635476,5,"M_noise_bias","MDS"
9,3.85022864533097,96.6136357693315,5,"M_noise_bias","MDS"
10,3.8479756831243,95.1120975647308,5,"M_noise_bias","MDS"
11,3.83764675006267,92.229957072036,5,"M_noise_bias","MDS"
2,3.49240237653004,98.0527973953746,5,"L_noise_bias","MDS"
3,3.12917473744037,93.4738183300354,5,"L_noise_bias","MDS"
2,6.5796202453213,100,10,"S_missing","MDS"
3,6.35245690985274,100,10,"S_missing","MDS"
4,6.27066843273063,100,10,"S_missing","MDS"
5,6.24790333069965,100,10,"S_missing","MDS"
6,6.24034045366304,100,10,"S_missing","MDS"
7,6.23654720468252,100,10,"S_missing","MDS"
8,6.23552378813983,100,10,"S_missing","MDS"
9,6.23560292430755,100,10,"S_missing","MDS"
10,6.23560291591076,100,10,"S_missing","MDS"
11,6.23560292938087,100,10,"S_missing","MDS"
12,6.23560294296896,100,10,"S_missing","MDS"
2,6.01299099528376,100,10,"M_missing","MDS"
3,5.70152692098463,100,10,"M_missing","MDS"
4,5.64095326242166,100,10,"M_missing","MDS"
5,5.60258699035216,100,10,"M_missing","MDS"
6,5.57765374746859,99.6076329786007,10,"M_missing","MDS"
7,5.57095075121922,98.62181605811,10,"M_missing","MDS"
8,5.57891876956231,97.9653729934486,10,"M_missing","MDS"
9,5.56067448152872,95.7192970675763,10,"M_missing","MDS"
10,5.55417658270311,94.4099846061147,10,"M_missing","MDS"
2,6.39975577131988,98.8080196496277,10,"L_missing","MDS"
3,5.96489867974914,95.5888447925049,10,"L_missing","MDS"
4,5.80701584317224,89.0800511604248,10,"L_missing","MDS"
2,6.78628206027602,100,10,"S_noise1","MDS"
3,6.47041740488787,100,10,"S_noise1","MDS"
4,6.36426196376797,100,10,"S_noise1","MDS"
5,6.31014298286271,100,10,"S_noise1","MDS"
6,6.286561201507,100,10,"S_noise1","MDS"
7,6.27751075258456,100,10,"S_noise1","MDS"
8,6.27129094268277,100,10,"S_noise1","MDS"
9,6.26925392039255,100,10,"S_noise1","MDS"
10,6.26844035245332,100,10,"S_noise1","MDS"
11,6.26822236143916,100,10,"S_noise1","MDS"
12,6.26822234048763,100,10,"S_noise1","MDS"
2,5.86415315641495,100,10,"M_noise1","MDS"
3,5.50321893885771,100,10,"M_noise1","MDS"
4,5.38942579836145,100,10,"M_noise1","MDS"
5,5.33741253386143,100,10,"M_noise1","MDS"
6,5.30708105792674,99.8738057324841,10,"M_noise1","MDS"
7,5.29438764214721,98.845889015412,10,"M_noise1","MDS"
8,5.29838908322035,98.035808287212,10,"M_noise1","MDS"
9,5.28015334400654,96.1272171532491,10,"M_noise1","MDS"
10,5.26993596110339,94.6741825384434,10,"M_noise1","MDS"
2,6.12551815513115,98.9333136825802,10,"L_noise1","MDS"
3,5.53525267551953,95.8990180275966,10,"L_noise1","MDS"
4,5.29592305858338,88.9542303715424,10,"L_noise1","MDS"
2,6.92060935149367,100,10,"S_noise_bias","MDS"
3,6.62779826835251,100,10,"S_noise_bias","MDS"
4,6.54797745290828,100,10,"S_noise_bias","MDS"
5,6.49870474538618,100,10,"S_noise_bias","MDS"
6,6.47810272777427,100,10,"S_noise_bias","MDS"
7,6.46927496240721,100,10,"S_noise_bias","MDS"
8,6.46518401291943,100,10,"S_noise_bias","MDS"
9,6.46327512342546,100,10,"S_noise_bias","MDS"
10,6.46335316962879,100,10,"S_noise_bias","MDS"
11,6.46323002822263,100,10,"S_noise_bias","MDS"
12,6.46323002632677,100,10,"S_noise_bias","MDS"
2,5.6476714618518,100,10,"M_noise_bias","MDS"
3,5.3393778244768,100,10,"M_noise_bias","MDS"
4,5.23278016850211,100,10,"M_noise_bias","MDS"
5,5.17972850171088,100,10,"M_noise_bias","MDS"
6,5.15214399668251,99.5416906724092,10,"M_noise_bias","MDS"
7,5.14755759195355,98.7275563292318,10,"M_noise_bias","MDS"
8,5.13869358584462,97.5927123636388,10,"M_noise_bias","MDS"
9,5.13814631112782,96.0048528166148,10,"M_noise_bias","MDS"
10,5.12945152860774,94.9031377490436,10,"M_noise_bias","MDS"
2,5.4331995716462,98.8092179529951,10,"L_noise_bias","MDS"
3,4.97464565991289,95.8729494442791,10,"L_noise_bias","MDS"
4,4.7570613511859,88.8559043710669,10,"L_noise_bias","MDS"
