"type","name","",""
"antigen","0013095_2_11","-1.14035006986736","0.561630850407205"
"antigen","001428_2_42","-0.734799229450236","-1.4420489514082"
"antigen","0077_V1_C16","-1.33177616482083","1.69478933118835"
"antigen","00836_2_5","-1.57004964996253","2.62784248684327"
"antigen","036_BT_SGA4","0.22467767305036","-0.984589263801292"
"antigen","079_LN_SGA3","1.67765632789417","1.2756353670774"
"antigen","079_LN_SGA9","1.10888860439679","-0.793907386160508"
"antigen","079_PBMC_SGA12","-0.996278335030083","-0.745678799367888"
"antigen","079_PBMC_SGA17","1.49012321456316","0.682330507321754"
"antigen","079_PBMC_SGA7","1.85117230490783","0.547382716182931"
"antigen","0921_V2_C14","-1.71319725670583","0.654446298329656"
"antigen","093_AT_SGA1","-0.931853476158862","-1.16199053739812"
"antigen","093_BT_SGA13","0.574735864573826","-1.67204911873806"
"antigen","093_BT_SGA3","-1.16966451520734","-1.0541070147593"
"antigen","100002I_2_1","1.43078740714418","-1.21899697582686"
"antigen","100014I_2_20","0.592624135292262","0.0795088646403978"
"antigen","100046I_3_2","-0.336344427786436","0.503571461750574"
"antigen","100052I_2_15","1.15849564481935","0.729387586030122"
"antigen","100155I_21","1.32891077363849","0.205615444972544"
"antigen","100307I_2_26","0.644023571700398","0.247382516024714"
"antigen","100307I_2_7","0.898782994624964","-0.743917312382097"
"antigen","100383I_3_5","1.72239744444027","-0.80266551307667"
"antigen","100504I_20","1.79903855377638","-1.4139131559383"
"antigen","1006_11_C3_1601","1.45874854270047","-0.953617269496455"
"antigen","100890I_2_1","1.54520621291064","-0.803506780787309"
"antigen","100890I_2_4","1.73485817072607","-0.959525599311678"
"antigen","100997I_2_18","1.08187936853689","1.26021414938552"
"antigen","100997I_2_2","0.802242202564343","2.51734371901028"
"antigen","1012_11_TC21_3257","-0.85352457823898","-0.50785948115875"
"antigen","101421I_2_11","1.43009038625981","-0.740359316591465"
"antigen","101421I_2_23","1.56162730972897","-0.465200966335291"
"antigen","101984I_10","0.567870510480686","-1.0381691291756"
"antigen","101984I_21","0.358497022991601","-2.05184655506687"
"antigen","102_AT_SGA1","-0.899227252474996","-0.765802283794125"
"antigen","102_BT_SGA3","1.49485902412932","1.14220548468212"
"antigen","102149I_2_23","-0.281098585142576","-0.0695038789862161"
"antigen","102407I_2_1","0.53922267473776","1.20910648951727"
"antigen","102605I_33","1.93818456631454","-1.4980387828515"
"antigen","1054_07_TC4_1499","1.38965413218728","-2.42070956587821"
"antigen","1056_10_TA11_1826","0.55342637739107","2.03239224605435"
"antigen","1170887_08","-1.99310411994292","0.010894488833757"
"antigen","1394_C9G1","-1.06356677817023","-0.818061850012106"
"antigen","16055_2_3","-0.457529181941927","0.943372349012716"
"antigen","16055_2_3_DELGLY3_197","-1.56205060936965","0.280763234595208"
"antigen","16055_2_3_DELGLY3_276","-1.27299172124243","0.93150593597823"
"antigen","16055_2_3_DELGLY3_463","-1.8734033973878","0.45999577631864"
"antigen","16055_2_3_DELGLY4","-2.01148110038924","0.513272611427488"
"antigen","16845_2_22","-0.26735967729216","-2.76729460550045"
"antigen","16936_2_21","-0.84528407613845","-1.02030723949693"
"antigen","186_AT_SGA1","0.543228963266957","-2.10653137465559"
"antigen","186_AT_SGA5","0.922025744205963","-2.03903144791945"
"antigen","186_BT_SGA1","0.664287992024148","1.30116078489062"
"antigen","19707346_E8_C6","-0.965424259610533","1.21502786034093"
"antigen","20286961_C1_H8","-0.766995578794247","-0.133670074082411"
"antigen","20883229_C9_H6","0.265532068619407","-2.51383938431861"
"antigen","20915593","-2.82922663493771","-0.124842419798448"
"antigen","20927783","-1.80545392040039","-2.25946923152153"
"antigen","20965238","1.56588862666012","-1.93735379481449"
"antigen","21197826_V1","0.547830273004371","-4.12899877198755"
"antigen","21283649","1.14818183053528","-0.955225165519295"
"antigen","21492713_B11_E3","1.19448411312717","-1.76757705356855"
"antigen","21502011_F12_E2","0.667314781302566","-2.7184945824563"
"antigen","21561324_D3_B5","-1.80937500037234","-0.606715516795728"
"antigen","234_F1_16_57","-2.3997045148056","-0.129429123569362"
"antigen","249M_B10","-1.78411863343314","0.732906051415281"
"antigen","25710_2_43","-0.923463852694797","-0.574715162365015"
"antigen","25711_2_4","-0.957314459270377","-0.485728580272899"
"antigen","25925_2_22","-1.0144289649318","-0.498356014354818"
"antigen","26191_2_48","-1.05277787977069","-0.547860154604672"
"antigen","288_38","-0.969170374353009","0.0732483737853433"
"antigen","2969249","-1.50905585125385","5.0857123361637"
"antigen","304_F2_1_11","-1.84698011075809","0.938770265087176"
"antigen","3168_V4_C10","-1.50182321667866","0.0768735643510211"
"antigen","318_TF_SGA2","-0.178386060342669","-1.22121304931522"
"antigen","329_14_B1","-1.49449617497347","0.0117194177044796"
"antigen","329_14_B4","-1.11830193350894","-1.17472336966123"
"antigen","329_15_A1","-1.23570018794274","0.976154644776023"
"antigen","329_15_B1","-1.23178930830565","-2.05406110500348"
"antigen","329_16_C1","-1.0812783715933","-2.46209793801832"
"antigen","329_16_D5","-0.856716380754509","-3.06088913806313"
"antigen","330_14_A12","-2.13381976044216","-1.7569557498741"
"antigen","330_14_A20","-2.16364468883089","-2.09499165619154"
"antigen","330_15_C36","-1.52761851591512","-3.19802474191039"
"antigen","330_15_D36","-1.64860319144181","-3.19747636190426"
"antigen","330_15_E36","-2.50775818857384","-3.12903743492106"
"antigen","330_16_A2","-0.71982647555277","-3.3940070335539"
"antigen","330_16_D4","-0.401401243036594","-3.82589404678112"
"antigen","330_16_E6","0.25108524553478","-1.97729130076573"
