"type","name","","",""
"antigen","DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944","-0.760284749221984","-1.46176757415153","-1.14962975699977"
"antigen","DENV3/PUERTO_RICO/S228762/1963","1.14859873880571","0.0181808432673618","-0.16608892928954"
"antigen","DENV1/THAILAND/16007/1964","-0.190643778572868","-0.491283497848681","2.1354090886867"
"antigen","DENV2/SENEGAL/0674/1970","-0.356237241167819","0.350948205359781","-0.470371413101701"
"antigen","DENV4/INDONESIA/AC36/1973","0.449493396258285","1.00304726904371","-0.399773843436944"
"antigen","DENV4/MALAYSIA/P731120/1973","0.995680553028896","1.03242325505867","-0.478275017517035"
"antigen","DENV1/NAURU/WESTERNPACIFICDELTA30/1974","0.149520259277864","1.45477553819069","1.01036260821116"
"antigen","DENV2/INDIA/742295/1974","0.330894370744738","-0.864492428114784","-1.41103414863333"
"antigen","DENV2/TONGA/DELTA30/1974","-0.708910648835028","-0.0142030209011141","-1.08319996690213"
"antigen","DENV3/INDONESIA/SLEMANDELTA30/1978","0.354844964764024","-0.89032881638984","1.14522277798766"
"antigen","DENV4/INDONESIA/S1228/1978","0.322442198147532","1.30206659733135","0.0696226224328576"
"antigen","DENV4/DOMINICA/814669DELTA30/1981","0.0154440660308691","0.39985750861646","-0.735553102528792"
"antigen","DENV4/THAILAND/D85052/1985","0.440723427421236","1.0980942118074","-0.223102062999605"
"antigen","DENV3/FIJI/29472/1992","1.14815519043778","-0.950214575769199","-0.659928993072554"
"antigen","DENV2/PERU/IQT2913/1996","-0.922836886728652","-0.228171194187408","-0.958681146546681"
"antigen","DENV4/PUERTO_RICO/347751/1998","0.477403639337018","1.19976115220428","-1.09568728898228"
"antigen","DENV4/NICARAGUA/703/1999","1.09331189238243","0.504666310993952","-0.625968392444092"
"antigen","DENV4/PUERTO_RICO/BIDV2446/1999","-0.455796278458016","1.60376614457352","-0.348486961136082"
"antigen","DENV1/PERU/IQT6152/2000","0.0643544681178865","-0.377659280504155","1.6446143880871"
"antigen","DENV1/VENEZUELA/OBT1298/2000","0.50547956599481","1.102439245048","1.42188861825729"
"antigen","DENV2/GUYANA/08221/2000","0.0690132847553653","-0.177876825742612","-1.22872460202266"
"antigen","DENV1/CAMBODIA/BIDV1991/2003","0.268971708879138","0.804756925454162","1.60911918946334"
"antigen","DENV1/CAMBODIA/BIDV1995/2003","-1.94082633145139","1.41180109881809","2.52718069286234"
"antigen","DENV2/VIETNAM/AC20/2003","-0.702694127931039","-1.07170995235727","-1.39780267639701"
"antigen","DENV2/VIETNAM/AC21/2003","-1.23836137923471","-0.56310681288215","-0.37631955795426"
"antigen","DENV2/BRAZIL/BR161/2004","-0.101503117417395","-1.46118721024197","-1.98950180351384"
"antigen","DENV1/MYANMAR/61117/2005","-0.236128911081781","-0.050403152067874","2.03643742200316"
"antigen","DENV2/NICARAGUA/BIDV533/2005","-0.542524475411269","-0.535543795199603","-1.45082891544751"
"antigen","DENV1/PUERTO_RICO/BIDV852/2006","0.804897291227262","0.148247150505418","1.5108777998025"
"antigen","DENV2/NICARAGUA/BIDV571/2006","-0.501102671622514","-0.149619101774581","-1.58576444140168"
"antigen","DENV2/VIETNAM/BIDV735/2006","-1.14737263083048","-1.27247099640562","-0.325899558781472"
"antigen","DENV3/PUERTO_RICO/429965/2006","1.25280590119243","-0.948460108979451","-0.0997228288969418"
"antigen","DENV3/VIETNAM/BIDV1329/2006","1.09377396399911","-0.953858373559035","-0.306220608434909"
"antigen","DENV2/CAMBODIA/BIDV4265/2007","0.278349396494362","-1.45676457980374","-1.85212972866221"
"antigen","DENV3/VIETNAM/BIDV1817/2007","1.27085929010817","-0.752285011057008","-0.125904756550495"
"antigen","DENV1/VIETNAM/BIDV1937/2008","0.431708719496371","0.875702756793188","1.79736561807112"
"antigen","DENV2/CAMBODIA/BIDV3924/2008","0.157063304736376","-1.15086051694061","-0.948978383720528"
"antigen","DENV2/MALAYSIA/DKD811/2008","-0.711878077321617","-1.40653838311827","-1.09454003655774"
"antigen","DENV3/MYANMAR/80931/2008","1.05011521791163","-1.43402177751335","-0.413914744059196"
"antigen","DENV4/MYANMAR/81087/2008","0.458210347863101","0.502557274363711","-1.23079564773415"
"antigen","DENV2/CAMBODIA/D2T0601085/2009","0.524823893612073","0.148772145433422","-0.989735193680077"
"antigen","DENV3/NICARAGUA/BIDV4753/2009","1.59033781893433","-0.537925811281745","-0.183931521709603"
"antigen","DENV1/BOLIVIA/FSB3363/2010","-0.189175591137489","1.32187474737229","0.943429306796963"
"antigen","DENV4/CAMBODIA/NA/2010","0.701952560301804","0.814791517191723","-1.06402730037015"
"antigen","DENV3/CAMBODIA/AC23/2011","0.561043664105369","-1.5107452068775","-0.884765326706138"
"antigen","DENV4/CAMBODIA/AC33/2011","0.878990376440133","0.360986322984792","-1.2046293747466"
"antigen","DENV4/BRAZIL/NA/2012","-0.111327446456715","1.65905755222555","-0.386356490930122"
"sera","DENV3/PUERTO_RICO/S228762/1963","0.189279013238019","0.606229800452172","0.163211299946482"
"sera","DENV2/SENEGAL/0674/1970","-0.461137631970099","-0.0118582718496968","-0.628499620147357"
"sera","DENV4/INDONESIA/AC36/1973","-1.25951343992556","1.42751635675409","0.146481762883051"
"sera","DENV4/MALAYSIA/P731120/1973","0.320126406022396","-0.0293931411580343","-0.176691944914207"
"sera","DENV1/NAURU/WESTERNPACIFICDELTA30/1974","-0.756982272965206","-0.795227289777517","1.30981470354253"
"sera","DENV2/TONGA/DELTA30/1974","-1.61452082825727","-0.767122432852542","0.681229386507186"
