"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V/DENV2/NICARAGUA/BIDV533/2005",3.83538999179995,1.4500195297077,3.00126245261834,3.18121645311349,4.04484015843288,4.21901750780132,3.24810140624748,2.94082594500946,3.78658257527037,3.22780884572064
"S/DENV1/PUERTO_RICO/BIDV852/2006",5.39871159187619,2.90023297067576,2.57461919220589,3.89411946342318,2.3964542832915,1.39794930265134,3.30786647936351,4.62003673520647,2.34682010890757,1.82324915798816
"S/DENV2/NICARAGUA/BIDV571/2006",3.80616316844462,0.639265799379127,2.74600349981965,3.1074344146484,2.06166320288315,3.24630690850975,4.41605659707203,1.46699647733812,3.1764691778056,3.05642864415334
"S/DENV2/VIETNAM/BIDV735/2006",3.49918899222135,1.39131615383986,1.0944401091733,3.53718039709005,3.55801156958347,3.69732633596551,5.53268780549892,2.02816736010057,2.33645684414649,3.42154630463022
"S/DENV3/PUERTO_RICO/429965/2006",3.17106254419551,2.42875861220988,4.21735611476618,3.46988774869596,3.62623570161107,3.16259147362395,1.86633837812503,4.40015073081997,3.87502629979137,3.7544170454007
"S/DENV3/VIETNAM/BIDV1329/2006",2.60053932131484,3.03639903920254,3.72609157059198,3.6727925879762,2.40551481314507,2.67130138388292,2.5382626290523,4.95118075804034,2.73165766230101,4.27631303535624
"V/DENV1/PUERTO_RICO/BIDV852/2006",4.53644678987123,2.99262585239602,2.92236747016849,2.95290491045296,3.15223075907498,2.86514833999154,1.81618730762518,4.18575566132531,3.70792007221516,2.11516245089572
"V/DENV2/NICARAGUA/BIDV571/2006",3.19395352394475,1.93578220804312,3.43910156277597,3.20560653085289,4.33518942632504,3.34329761012377,4.54935474115103,3.01148178928209,4.66116714467747,3.75467270643061
"V/DENV2/VIETNAM/BIDV735/2006",2.97325982990233,2.69653218484473,2.86831504933731,4.03312007367187,2.70005566622429,3.38957534542249,3.54482303381094,2.23225022227213,2.28254721634662,2.89698112909628
"V/DENV3/PUERTO_RICO/429965/2006",3.1804081734036,2.71414066611626,3.90761000914332,3.20201961991272,3.25363728222586,3.17882117300286,2.10648674806439,4.30411450078688,3.53773268570762,3.90155564271954
"V/DENV3/VIETNAM/BIDV1329/2006",2.67443109770191,2.77045085163613,3.72768135020459,3.02321838711537,3.1374360496962,3.04431017883684,2.32230465434611,4.26489536272923,2.98623221068156,3.96229617546382
"S/DENV3/VIETNAM/BIDV1817/2007",2.8179298734234,2.58482517437533,4.05674974387799,3.70570606872004,2.61674069904418,2.95492506699616,2.34359996254642,4.77672635493876,2.64951484594881,4.10746674721811
"V/DENV2/CAMBODIA/BIDV4265/2007",4.61063805992861,2.39863949891806,1.78417200785043,4.05815895394922,4.70982758440413,3.82953015919202,4.74399263430054,4.12811031747225,3.25647215087685,3.64078522369834
"V/DENV3/VIETNAM/BIDV1817/2007",3.08739107938701,2.797711711672,3.66781863006935,2.97685355124791,3.3096231274191,3.26697837198482,2.02374946629914,4.35760120854904,3.63473275584719,3.69050743125107
"S/DENV1/VIETNAM/BIDV1937/2008",5.52649299915711,3.35882011355645,2.42970669392759,3.58979056566217,2.15332957831683,1.8165810908076,3.06948315787378,4.66320653667937,3.4717793241943,1.13559630248196
"S/DENV2/MALAYSIA/DKD811/2008",3.09896530946966,1.65272469027263,2.31507606449996,4.11053718609292,1.94577134043429,2.90379385855311,4.42933588975212,1.57891232848373,3.69388092749617,3.77111693245339
"S/DENV3/MYANMAR/80931/2008",3.21416497789039,2.52390643877149,3.6719562622141,2.81837646229293,3.26044932185044,3.26767711926597,2.52216919452304,3.79121611440653,3.40035700203389,3.59834676981445
"S/DENV4/MYANMAR/81087/2008",3.09486255680125,3.00450039940205,2.86131270273853,2.70531441159741,2.98374306381006,3.27729877750417,1.63252103687164,2.75632456763226,3.16442684128957,2.92100754689461
"V/DENV1/VIETNAM/BIDV1937/2008",4.52910908516473,3.97519580821609,3.03418158589045,3.24377293056789,2.3502758137087,2.29695770671246,3.28275540560576,4.48528726056123,4.43365149258752,1.72652481543875
"V/DENV2/CAMBODIA/BIDV3924/2008",3.15499372345822,2.11925596359808,2.02649318653403,3.44759325338021,4.10707569228506,2.62314241296538,4.53831550646196,4.2853852621658,3.20325495663304,3.7409528820661
"V/DENV2/MALAYSIA/DKD811/2008",3.08324295130489,3.65952415576133,2.69119443006678,3.62460037976262,3.95254852716306,3.24801218768624,4.23640640146517,2.08893116374312,3.49465758982034,3.01614047712278
"V/DENV3/MYANMAR/80931/2008",3.1728013433494,2.61594331858571,4.74033372203416,2.91658479941769,3.34495176171798,3.32317728989638,2.69152994760745,4.12799992388134,3.30694663189092,4.0564177113289
"V/DENV4/MYANMAR/81087/2008",3.19683861962927,2.91531466767276,2.61420606096336,1.7335434765633,3.44358751253034,3.26924837346763,2.32873893169285,2.93680263922297,4.31128146306643,3.42362135649711
"S/DENV2/CAMBODIA/D2T0601085/2009",3.76920686454013,1.94031445511984,2.67918731488218,2.66074070642396,2.73560894387937,3.12865063615112,3.28191489109943,2.72552885050885,3.44286980089785,2.92312355869113
"S/DENV3/NICARAGUA/BIDV4753/2009",3.26837362816208,2.73091176792251,3.12118325557626,3.60551385294048,3.11847835909754,2.85375103427937,2.39928103104354,3.69816773288567,3.74758766825053,3.44781687220889
"V/DENV2/CAMBODIA/D2T0601085/2009",4.09028621167734,2.33848433788826,3.27740196273065,2.10913325674325,3.49690514544304,3.54325982190258,3.26413000599648,3.89893521499912,3.80721583823079,4.00173785956682
"V/DENV3/NICARAGUA/BIDV4753/2009",3.0090997616779,2.52146505546649,4.48861110237778,3.39756183798322,3.71873105824475,3.18094274484684,1.65407463046624,4.28074712960054,3.78148737115902,3.99090035544479
"S/DENV1/BOLIVIA/FSB3363/2010",4.55185112685929,2.95183564703132,2.66550023722401,2.94579788237474,2.71579677908734,2.20261993885318,2.90379960186684,4.09567729422302,3.22371453331789,2.29056620672365
"S/DENV4/CAMBODIA/NA/2010",3.44693654636135,2.72611031515371,2.66816020922776,2.33006220701549,3.43238712802932,3.14990082862684,1.95837895420955,3.17444681428583,3.83469839090775,2.75492558298361
"V/DENV1/BOLIVIA/FSB3363/2010",4.94653008770121,3.46148216682646,3.81815770104484,3.09343848296475,2.8677776024569,2.15828318734065,3.52885759468181,3.53729148813696,5.01680028708169,2.12884369133341
"V/DENV4/CAMBODIA/NA/2010",3.21166298096434,2.68883992079872,2.47943599241195,1.87158058270493,3.86965612046696,3.50218822275543,1.69213222056125,3.21206998615551,4.35176422777275,2.95561285368185
"S/DENV3/CAMBODIA/AC23/2011",3.23029958131783,2.79013174118998,4.3932256111331,2.92241689681373,3.08477248936134,2.99780782469567,2.8237585186896,4.15606759100994,3.61104955684613,3.96270950141033
"S/DENV4/CAMBODIA/AC33/2011",3.21973922342687,2.54442603713811,2.69094940995802,2.26140892083157,3.34993873219573,3.40348984457315,2.12902322778634,3.09774403925251,3.66825737877629,3.17760930269379
"V/DENV3/CAMBODIA/AC23/2011",3.13335085954123,3.63978184323494,4.14117873851584,2.56726426663757,3.1346123860506,3.05061027572338,3.00426611199313,3.83010608809315,4.25279871901277,4.12447351348205
"V/DENV4/CAMBODIA/AC33/2011",3.31782511749691,2.76677131629089,3.00234474557702,1.96240811324438,3.85144681793525,3.65436350929055,2.01166022084321,3.63520145900988,4.3567668343673,2.94067273575085
"S/DENV4/BRAZIL/NA/2012",4.68175786402475,3.1054109897891,2.81674989147755,2.84323008988254,3.34527022552364,2.78342802799918,0.898359277861719,2.43464493115113,3.508161515505,3.2424431981565
"V/DENV4/BRAZIL/NA/2012",2.90474218917435,3.46333990409085,2.81493917448171,2.86982714205517,2.68709788210609,3.34150549771743,0.993082205720131,2.31510031586534,2.77447756799076,2.53891755511675
