"type","name","",""
"antigen","A/Singapore/53/1989","0.333375860121867","0.240118249207544"
"antigen","A/Victoria/1/1989","1.33039751293298","-3.66327108190518"
"antigen","A/Waikato/1/1989","-0.164269171240948","0.463547373457396"
"antigen","A/Wellington/5/1989","-1.08779154305635","0.786695369678381"
"antigen","A/Memphis/2/1990","0.43015737554699","0.0246201669709868"
"antigen","A/Memphis/5/1990","1.5194328653561","1.56735608171152"
"antigen","A/Seoul/1/1990","0.777344903904772","0.308238854031607"
"antigen","A/Shanghai/24/1990","-2.57526871587446","-1.11697174656289"
"antigen","A/Victoria/2/1990","-0.517075985051442","3.69523508904899"
"antigen","A/Wellington/3/1990","-0.86338775814188","3.77135165831951"
"antigen","A/Lyon/1149/1991","-2.02092071166249","4.3597312261858"
"antigen","A/Lyon/1182/1991","-1.63935857169615","4.35968297647102"
"antigen","A/Lyon/24222/1991","-1.46299928545765","3.62661540533086"
"antigen","A/Madrid/G12/1991","0.0233810595900416","3.9354956946579"
"antigen","A/Netherlands/816/1991","0.217000323735635","4.1280403798531"
"antigen","A/Netherlands/891/1991","-0.480857816572051","3.73987426171067"
"antigen","A/Stockholm/20/1991","-0.0525623356714606","4.26701980887007"
"antigen","A/Beijing/32/1992","-4.8050625951265","-0.953040070793359"
"antigen","A/Madrid/G58/1992","-1.23809802314876","3.81038807368633"
"antigen","A/Netherlands/823/1992","-0.897125119546083","4.37872950851046"
"antigen","A/Netherlands/935/1992","-0.583786830844385","3.45777259409382"
"antigen","A/Netherlands/938/1992","-3.56613159140472","-0.182409961988582"
"antigen","A/Nijmegen/3126/1992","-0.497566649114729","4.48012150439367"
"antigen","A/Nijmegen/3129/1992","-0.385474785745433","3.88911986964285"
"antigen","A/Oviedo/31/1992","-0.20021515499025","3.2475614871548"
"antigen","A/Paris/320/1992","-0.316416392638704","4.15427753913708"
"antigen","A/Paris/325/1992","-0.280562754873277","4.31112894250455"
"antigen","A/Paris/407/1992","0.605658458840377","4.69253479844915"
"antigen","A/Paris/424/1992","-0.657737223194241","4.70766244548998"
"antigen","A/Paris/457/1992","1.3757045673631","4.54386602147985"
"antigen","A/Paris/467/1992","0.329346665671062","3.76291429483357"
"antigen","A/Paris/490/1992","-0.8518770368797","4.34343758537403"
"antigen","A/Paris/512/1992","0.897520485185559","5.58218030898527"
"antigen","A/Paris/548/1992","1.03788365557926","5.45196485270355"
"antigen","A/Paris/564/1992","-1.73457196790342","4.45030761263402"
"antigen","A/Paris/583/1992","0.575155696036863","4.78338274402868"
"antigen","A/Paris/597/1992","-1.18965074765612","5.62782944034894"
"antigen","A/Paris/614/1992","0.113956404154787","4.18035118525106"
"antigen","A/Sendai/C273/1992","-7.93674447687438","-1.92931433227707"
"antigen","A/SouthAustralia/23/1992","0.837151865855596","5.13814108702254"
"antigen","A/SouthAustralia/27/1992","-1.27556292937547","5.19857443364131"
"antigen","A/SouthAustralia/8/1992","0.266917999447867","5.61087237823806"
"antigen","A/Stockholm/12/1992","-5.94559629046284","0.708237170262297"
"antigen","A/Stockholm/13/1992","-0.0167188491989782","3.33697403927015"
"antigen","A/Stockholm/7/1992","1.33152372002741","4.52358910140384"
"antigen","A/Stockholm/8/1992","-1.29854177258595","4.48506294510124"
"antigen","A/Tilburg/5957/1992","-0.546782831260458","3.7951265854566"
"antigen","A/Umea/2000/1992","-0.961369067347548","4.09461344767271"
"antigen","A/Victoria/33/1992","-0.438847058326267","3.23617701146958"
"antigen","A/Akita/4/1993","-7.91108886059517","-0.572295992173701"
"antigen","A/Guangdong/25/1993","-8.60283203759942","0.304908753287349"
"antigen","A/Lyon/672/1993","-6.90865654589594","0.0324340402875801"
"antigen","A/Madrid/G102/1993","-6.20831394653841","1.18646583762845"
"antigen","A/Madrid/G109/1993","-6.56502228689557","1.76291711192427"
"antigen","A/Madrid/G122/1993","-7.09813277381544","1.88776038124426"
"antigen","A/Madrid/G130/1993","-5.64424968728395","-0.539064507487349"
"antigen","A/Madrid/G252/1993","-7.25624015772604","4.85292906925069"
"antigen","A/Netherlands/101/1993","-5.22149975199228","-0.926816187693687"
"antigen","A/Netherlands/115/1993","-5.65408155835944","-0.413116980220656"
"antigen","A/Netherlands/126/1993","-5.35477049185055","-1.33055532379077"
"antigen","A/Netherlands/241/1993","-7.41169791862599","1.75306038421209"
"antigen","A/Netherlands/3/1993","-5.35630374653296","1.52963995810038"
"antigen","A/Netherlands/371/1993","-8.33410926138982","0.247583397119163"
"antigen","A/Oslo/2352/1993","-6.43135453058638","-0.644257952832835"
"antigen","A/Shandong/9/1993","-7.74093160661473","-0.99438437694218"
"antigen","A/Shiga/6/1993","-8.18374633696986","-0.443708286924003"
"antigen","A/Stockholm/20/1993","-7.07228799476671","2.34667014426721"
"antigen","A/Yamagata/56/1993","-8.22817831521575","-0.789035136542054"
"antigen","A/Yamagata/61/1993","-8.08462604901387","-2.44466043082477"
"antigen","A/Yamagata/62/1993","-8.21357288024513","-1.27810819509108"
"antigen","A/England/7/1994","-8.37019912589714","4.96861018529423"
"antigen","A/HongKong/1/1994","-7.18647553828979","2.14201995899068"
"antigen","A/HongKong/2/1994","-6.26570086815572","2.50558756527191"
"antigen","A/HongKong/55/1994","-7.48630366861691","2.75361479020099"
"antigen","A/HongKong/56/1994","-7.62566720980843","2.25895144483362"
"antigen","A/Johannesburg/33/1994","-9.27609802481454","-0.1409899997275"
"antigen","A/Johannesburg/47/1994","-8.02253726671234","-0.463448668896629"
"antigen","A/Netherlands/18/1994","-6.6994099768175","1.74967889430076"
"antigen","A/SouthAustralia/15/1994","-7.52720139691988","2.21560117911887"
"antigen","A/SouthAustralia/25/1994","-7.76314576247303","2.02206101969314"
"antigen","A/Finland/338/1995","-6.69570776085185","4.47704705436624"
"antigen","A/Finland/339/1995","-9.87418268711247","5.2106545856466"
"antigen","A/Finland/381/1995","-10.0461319325939","4.88834131422976"
"antigen","A/Geneva/AI9509/1995","-5.50554200911571","3.62931002485431"
"antigen","A/HongKong/3/1995","-6.97789460225545","1.85127139041163"
"antigen","A/HongKong/32/1995","-7.71507669431327","1.81436275382397"
"antigen","A/HongKong/38/1995","-7.04687694133781","2.67568777140192"
"antigen","A/HongKong/49/1995","-8.1551131225808","4.42903133546851"
"antigen","A/HongKong/55/1995","-6.37158128506127","4.18528142762083"
"antigen","A/Lyon/2279/1995","-6.30818153615322","4.14506430124914"
"antigen","A/Nanchang/933/1995","-6.33505484144946","4.60478796127041"
"antigen","A/Netherlands/1/1995","-8.30721032399955","1.32081369732666"
"antigen","A/Netherlands/271/1995","-9.16616156968462","5.73721393627564"
"antigen","A/Victoria/75/1995","-6.6693223802372","2.53825779415678"
"antigen","A/Wuhan/359/1995","-6.12399593501476","5.40884812334001"
"antigen","A/Brisbane/8/1996","-5.39990746602585","6.20784350913907"
"antigen","A/Geneva/3958/1996","-6.98069797849803","5.44914569114272"
"antigen","A/HongKong/20/1996","-6.47231876076233","5.58562088279248"
"antigen","A/HongKong/357/1996","-6.52702241550695","4.78582850341158"
"antigen","A/HongKong/358/1996","-5.58767193057678","5.80579019591855"
"antigen","A/HongKong/42/1996","-6.34597532589013","2.73175869385718"
"antigen","A/HongKong/434/1996","-9.42889569631859","-0.482026507183348"
"antigen","A/Lyon/1781/1996","-6.12772949677066","4.88315955803121"
