name,V1,V2,V3,V4,antigen,antiserum,year,cluster,color
A/Geneva/5007/1989,5.164809719,3.321215813,1.636118993,3.442109133,TRUE,FALSE,1989,SI87,blue
A/Geneva/AI9509/1995,7.713550522,5.391805519,7.185718654,7.89979988,FALSE,TRUE,1995,WU95,darkgreen
A/Geneva/AI9509/1995,7.220992314,4.708540974,5.377643766,9.167833804,TRUE,FALSE,1995,WU95,darkgreen
A/Guangdong/25/1993,8.626032166,2.68155308,8.668964241,7.054878174,FALSE,TRUE,1993,BE92,pink
A/Guangdong/25/1993,7.119507612,3.464652186,7.130513717,9.084019633,TRUE,FALSE,1993,BE92,pink
A/Guildford/V728/1985,3.278788542,1.268329363,3.674034043,3.683413916,TRUE,FALSE,1985,BK79,green
A/Guizhou/54/1989,5.816927697,3.273997315,1.913867944,6.34706435,TRUE,FALSE,1989,SI87,blue
A/Guizhou/54/1989,6.32801511,3.640849681,0.892162095,3.099777528,FALSE,TRUE,1989,SI87,blue
A/HongKong/1/1968,-2.993006772,-0.822150132,-0.52431802,-3.844528422,FALSE,TRUE,1968,HK68,purple
A/HongKong/1/1968,-3.693247622,-2.182439535,0.050609615,-4.330538064,TRUE,FALSE,1968,HK68,purple
A/HongKong/1/1989,5.049450708,3.69201589,2.043219504,3.261638353,TRUE,FALSE,1989,SI87,blue
A/HongKong/1/1994,7.425190196,4.727211063,7.807051258,6.322910025,TRUE,FALSE,1994,BE92,pink
A/HongKong/1/1997,7.47408721,8.694373913,7.113742432,6.641224655,TRUE,FALSE,1997,WU95,darkgreen
A/HongKong/107/1971,-2.132206016,-3.850408917,-1.702797398,-3.57761632,TRUE,FALSE,1971,HK68,purple
A/HongKong/107/1971,-4.15531813,-4.773437618,-0.774958916,-4.862547848,FALSE,TRUE,1971,HK68,purple
A/HongKong/2/1994,7.27040236,4.431203961,7.347298689,5.677854852,TRUE,FALSE,1994,BE92,pink
A/HongKong/20/1996,8.054108564,8.303342418,7.6384371,7.315128189,TRUE,FALSE,1996,WU95,darkgreen
A/HongKong/280/1997,8.548264587,9.442465624,7.134893494,7.465120515,TRUE,FALSE,1997,WU95,darkgreen
