"V1","V2","name","antigen","antiserum","Country","Subtype","year"
1.96897344641541,1.94424989487883,"SC422_8",TRUE,FALSE,"TRINIDAD AND TOBAGO","B",1995
2.10040855383747,0.596457008119507,"SC45_4B5_2631",TRUE,FALSE,"TRINIDAD AND TOBAGO","B",1995
3.53856442358326,1.77336968675074,"TRO_11",TRUE,FALSE,"ITALY","B",1995
3.31186006881175,1.04090210412182,"1006_11_C3_1601",TRUE,FALSE,"UNITED STATES","B",1997
2.45080517379809,3.11996179609796,"1012_11_TC21_3257",TRUE,FALSE,"UNITED STATES","B",1997
4.57647663554664,1.02474515058763,"1054_07_TC4_1499",TRUE,FALSE,"UNITED STATES","B",1997
4.17726390501901,0.350903714022262,"62357_14_D3_4589",TRUE,FALSE,"UNITED STATES","B",1997
3.54681589560628,2.81443911330755,"97ZA009",TRUE,FALSE,"SOUTH AFRICA","C",1997
2.90753372179839,2.00729835983387,"QC406_70M_F3",TRUE,FALSE,"KENYA","C",1997
2.45138800650581,2.19282145960859,"SS1196_1",TRUE,FALSE,"UNITED STATES","B",1997
3.7509511815956,3.11897108009059,"ZA012_29",TRUE,FALSE,"SOUTH AFRICA","C",1997
2.15167193689167,2.36250523402379,"1056_10_TA11_1826",TRUE,FALSE,"UNITED STATES","B",1998
1.95809245499362,3.44447533092276,"AC10_29",TRUE,FALSE,"UNITED STATES","B",1998
1.60495044171428,2.71879964498237,"B41_9032_08_A1",TRUE,FALSE,"UNITED STATES","B",1998
1.36718403333918,3.17999552100218,"DU123_06",TRUE,FALSE,"SOUTH AFRICA","C",1998
1.63997045529297,3.68714308515992,"DU151_02",TRUE,FALSE,"SOUTH AFRICA","C",1998
4.33871702945763,0.799510982266275,"DU172_17",TRUE,FALSE,"SOUTH AFRICA","C",1998
4.64872310697454,1.24648993740967,"DU422_1",TRUE,FALSE,"SOUTH AFRICA","C",1998
1.83237702426184,3.82884805695253,"TV1_29",TRUE,FALSE,"SOUTH AFRICA","C",1998
2.17820218283421,3.45860673381844,"ZM106_9",TRUE,FALSE,"ZAMBIA","C",1998
5.47901867149802,2.49206803473866,"ZM135_10A",TRUE,FALSE,"ZAMBIA","C",1998
2.92658277641093,3.74203858708899,"ZM55_28A",TRUE,FALSE,"ZAMBIA","C",1998
1.81671330119444,3.36980710518512,"16055_2_3",TRUE,FALSE,"INDIA","C",1999
2.02231172659014,4.33535331191616,"16055_2_3_DELGLY3_197",TRUE,FALSE,"INDIA","C",1999
1.54632728021048,3.05336245657385,"16055_2_3_DELGLY3_276",TRUE,FALSE,"INDIA","C",1999
1.69180229649102,3.78922867934062,"16055_2_3_DELGLY3_463",TRUE,FALSE,"INDIA","C",1999
1.71430016852344,3.63345452905532,"16055_2_3_DELGLY4",TRUE,FALSE,"INDIA","C",1999
4.75176712869104,3.27128863789683,"16845_2_22",TRUE,FALSE,"INDIA","C",1999
3.22764522502295,2.57960294136041,"16936_2_21",TRUE,FALSE,"INDIA","C",1999
2.66367622217096,3.45707811583655,"25710_2_43",TRUE,FALSE,"INDIA","C",1999
2.67012419262653,3.15798894719725,"25711_2_4",TRUE,FALSE,"INDIA","C",1999
2.45353682253659,3.26088010203264,"25925_2_22",TRUE,FALSE,"INDIA","C",1999
2.15339559295515,2.9866829360287,"DU156_12",TRUE,FALSE,"SOUTH AFRICA","C",1999
2.24304773360137,3.99320458822412,"0013095_2_11",TRUE,FALSE,"INDIA","C",2000
3.07682641200479,3.30075693270301,"001428_2_42",TRUE,FALSE,"INDIA","C",2000
3.38036883334166,5.17874409843312,"00836_2_5",TRUE,FALSE,"INDIA","C",2000
2.34508396028985,3.28653140334807,"26191_2_48",TRUE,FALSE,"INDIA","C",2000
1.95935164834683,4.03837673063016,"541_F1_A7_2",TRUE,FALSE,"TANZANIA","C",2000
5.68964399441267,1.39912659824251,"98_F4_H5_13",TRUE,FALSE,"TANZANIA","C",2000
3.42202698936406,2.15377947596853,"RHPA4259_7",TRUE,FALSE,"UNITED STATES","B",2000
2.29079580032975,4.08237053108711,"THRO4156",TRUE,FALSE,"UNITED STATES","B",2000
2.25507870907312,2.24627020202381,"WITO4160_33",TRUE,FALSE,"UNITED STATES","B",2000
2.24753936652493,3.99656884797906,"ZM109_4",TRUE,FALSE,"ZAMBIA","C",2000
1.86267809108213,4.09538851975579,"ZM53_12",TRUE,FALSE,"ZAMBIA","C",2000
1.68414118238933,4.24781526824282,"234_F1_16_57",TRUE,FALSE,"TANZANIA","C",2001
2.62134639379941,4.62642454610909,"304_F2_1_11",TRUE,FALSE,"TANZANIA","C",2001
3.1920114671547,1.26712432801096,"346_F4_D2_12",TRUE,FALSE,"TANZANIA","C",2001
2.00212254775274,2.31629993502826,"45_01DG5",TRUE,FALSE,"UNITED STATES","B",2001
4.47482288115362,2.17675613116586,"556_F2_3_25",TRUE,FALSE,"TANZANIA","C",2001
4.16392254911993,4.49063579535495,"569_F1_37_10",TRUE,FALSE,"TANZANIA","C",2001
3.60176618052022,1.58111185426909,"APV_13",TRUE,FALSE,"UNITED STATES","B",2001
1.40700191578804,2.6513959196521,"REJO4541_67",TRUE,FALSE,"UNITED STATES","B",2001
4.13894169529693,2.83611976570071,"TRJO4551_58",TRUE,FALSE,"UNITED STATES","B",2001
1.50056925675245,4.19914889484981,"TZA125_17",TRUE,FALSE,"TANZANIA","C",2001
1.91284955574005,3.62156660229118,"TZBD_02",TRUE,FALSE,"TANZANIA","C",2001
2.43154996621671,3.21115925153854,"288_38",TRUE,FALSE,"ETHIOPIA","C",2002
4.57046576991976,1.49307874222847,"APV_17",TRUE,FALSE,"UNITED STATES","B",2002
1.45117060226867,3.93259546054849,"BF1266_431A",TRUE,FALSE,"MALAWI","C",2002
2.59294640868592,4.1195221864656,"BF329",TRUE,FALSE,"MALAWI","C",2002
2.92555075582374,2.88011693787736,"BF591",TRUE,FALSE,"MALAWI","C",2002
3.18644267678586,2.32212120372427,"BF703",TRUE,FALSE,"MALAWI","C",2002
2.1788956897188,3.29220530917088,"ZM197_7",TRUE,FALSE,"ZAMBIA","C",2002
3.68420705273496,2.67343544853889,"ZM215_8",TRUE,FALSE,"ZAMBIA","C",2002
2.54957726908027,4.83659149334102,"ZM233_6",TRUE,FALSE,"ZAMBIA","C",2002
0.552922860534174,3.58442783325424,"0077_V1_C16",TRUE,FALSE,"TANZANIA","C",2003
1.8046464586262,4.30380256839341,"249M_B10",TRUE,FALSE,"ZAMBIA","C",2003
3.68296337094419,2.80599545277567,"3301_V1_C24",TRUE,FALSE,"TANZANIA","C",2003
4.11098591816038,2.41851204348586,"3873_V1_C24",TRUE,FALSE,"TANZANIA","C",2003
4.79490173797064,5.67040892849733,"6471_V1_C16",TRUE,FALSE,"TANZANIA","C",2003
2.08969387924516,3.8082097849997,"6838_V1_C35",TRUE,FALSE,"TANZANIA","C",2003
1.53914360324134,4.44685089803235,"CE0393_C3",TRUE,FALSE,"MALAWI","C",2003
4.52467412788401,1.35633057051056,"ZM214_15",TRUE,FALSE,"ZAMBIA","C",2003
4.5356847611292,1.14061663558121,"ZM246F",TRUE,FALSE,"ZAMBIA","C",2003
3.07098828834424,2.75142938505621,"ZM247_V1",TRUE,FALSE,"ZAMBIA","C",2003
1.49850094943675,4.14829237635271,"ZM249_1",TRUE,FALSE,"ZAMBIA","C",2003
1.67100327140941,4.35624555669236,"0921_V2_C14",TRUE,FALSE,"TANZANIA","C",2004
1.97598271736521,3.26950967654201,"1394_C9G1",TRUE,FALSE,"MALAWI","C",2004
5.87694406451584,2.64890517644083,"6631_V3_C10",TRUE,FALSE,"TANZANIA","C",2004
3.63887220084657,1.94964888487075,"6644_V2_C33",TRUE,FALSE,"TANZANIA","C",2004
4.3111863835227,2.46424000732235,"CAAN5342",TRUE,FALSE,"UNITED STATES","B",2004
3.2964732578108,3.56868249684083,"CE1086_B2",TRUE,FALSE,"MALAWI","C",2004
0.83862218612681,2.46291533459165,"CE1172_H1",TRUE,FALSE,"MALAWI","C",2004
3.12823828838138,3.49672955190835,"CE1176_A3",TRUE,FALSE,"MALAWI","C",2004
3.31007518011916,1.74087508799261,"CNE10",TRUE,FALSE,"CHINA","B",2004
4.14715343909885,2.11021186690429,"CNE12",TRUE,FALSE,"CHINA","B",2004
3.99609233330034,2.07975555091555,"CNE14",TRUE,FALSE,"CHINA","B",2004
2.33173367969141,4.06227306385158,"3168_V4_C10",TRUE,FALSE,"TANZANIA","C",2005
5.76287628434905,4.82821921605273,"3637_V5_C3",TRUE,FALSE,"TANZANIA","C",2005
-0.43647722644814,5.16737777987922,"6322_V4_C1",TRUE,FALSE,"TANZANIA","C",2005
2.81547835956737,3.43194688841902,"6785_V5_C14",TRUE,FALSE,"TANZANIA","C",2005
0.971815337250013,5.40447756485749,"CAP210_E8",TRUE,FALSE,"SOUTH AFRICA","C",2005
3.19441972419788,4.96298230304904,"CAP244_D3",TRUE,FALSE,"SOUTH AFRICA","C",2005
2.67251468885386,3.61115273419475,"CAP256_SU",TRUE,FALSE,"SOUTH AFRICA","C",2005
1.05971150857238,3.50558054762269,"CAP45_G3",TRUE,FALSE,"SOUTH AFRICA","C",2005
4.81705952329361,4.08069797858389,"CE2010_F5",TRUE,FALSE,"MALAWI","C",2005
1.53093610582368,3.98618516575787,"CE2060_G9",TRUE,FALSE,"MALAWI","C",2005
4.33372622767147,1.90890363614392,"CNE57",TRUE,FALSE,"CHINA","B",2005
1.92769836776722,3.93576458095746,"19707346_E8_C6",TRUE,FALSE,"SOUTH AFRICA","C",2006
3.97929822548363,3.23205671854853,"6022_V7_C24",TRUE,FALSE,"TANZANIA","C",2006
2.99219001323303,4.281046176847,"6146_V7_C23",TRUE,FALSE,"TANZANIA","C",2006
3.29782424439275,2.01671536047838,"700010040_C9_4520",TRUE,FALSE,"UNITED STATES","B",2006
2.26401223318336,3.93681302742865,"B005018_8_F6_3",TRUE,FALSE,"BOTSWANA","C",2006
4.24988428876617,2.67784491459481,"CAP136_1_16_E6_1",TRUE,FALSE,"SOUTH AFRICA","C",2006
2.23181627356735,3.89653892054815,"CAP177_1A3",TRUE,FALSE,"SOUTH AFRICA","C",2006
0.570602867446097,4.44117704816421,"CAP266_2_00_E9_H6",TRUE,FALSE,"SOUTH AFRICA","C",2006
3.65641811801035,2.955800353883,"CAP69_1_12_TA7_1",TRUE,FALSE,"SOUTH AFRICA","C",2006
2.05726006446548,3.96913018289683,"CE2052_G10",TRUE,FALSE,"MALAWI","C",2006
4.10092085079733,2.15327288777015,"CNE4",TRUE,FALSE,"CHINA","B",2006
2.18304503351119,3.69807761648224,"CNE58",TRUE,FALSE,"CHINA","C",2006
5.81601340340233,4.26705082604708,"2969249",TRUE,FALSE,"SOUTH AFRICA","C",2007
1.92736987693029,5.27056455355663,"703010054_2A2",TRUE,FALSE,"MALAWI","C",2007
0.852537240006405,4.67262469204374,"703010131_1E2",TRUE,FALSE,"MALAWI","C",2007
4.50538134626473,0.862382533495393,"703010200_1E5",TRUE,FALSE,"MALAWI","C",2007
1.97564019197236,3.23132982958901,"703010217_B6",TRUE,FALSE,"MALAWI","C",2007
1.27195152776729,4.09836931548305,"704010042_2E5",TRUE,FALSE,"SOUTH AFRICA","C",2007
2.0519249037529,3.12935039863295,"704809221_1B3",TRUE,FALSE,"SOUTH AFRICA","C",2007
1.58821469489569,4.29076983486166,"704810053_2B7",TRUE,FALSE,"SOUTH AFRICA","C",2007
0.637455266518801,5.1699849589007,"705010185_TF",TRUE,FALSE,"SOUTH AFRICA","C",2007
2.70995964999621,4.40501586454699,"722_G4_16",TRUE,FALSE,"SOUTH AFRICA","C",2007
