"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","name","antigen","antiserum","year","cluster","color"
3.3322195109021,2.31964314251598,1.64856281268701,2.70667923914154,2.77173715507094,2.9428343413539,2.98647717648177,1.70767085365785,4.81224488075312,3.04757227867317,"DENV2/PAPUANEWGUINEA/NEWGUINEAC/1944",TRUE,FALSE,1944,"DENV2","#1f78b4"
3.75642547913875,2.58019678936834,2.71714719252242,3.4053269732575,2.7336623449354,2.30217487381968,3.16654795433208,3.43170269976034,3.21774682255779,2.49955804123396,"DENV3/PUERTO_RICO/S228762/1963",FALSE,TRUE,1963,"DENV3","#33a02c"
3.9291389258397,2.03220429458846,2.9835272309409,4.06135175543212,2.35925544915006,2.1802647305138,2.93886686749856,3.53845384891821,3.74479922321291,2.70805978413887,"DENV3/PUERTO_RICO/S228762/1963",TRUE,FALSE,1963,"DENV3","#33a02c"
3.82848581309908,3.89098971230198,3.59470101592146,2.34126403128488,2.66809479757049,1.76159159140592,4.13947529418254,2.5287419955143,2.17636148543089,3.07630735415027,"DENV1/THAILAND/16007/1964",TRUE,FALSE,1964,"DENV1","#ff7f00"
3.22989484912402,2.60923340543878,2.51354414136319,2.69640266716993,3.19526540423252,2.89112563645899,3.60492319581162,3.41181013269332,3.06092355132468,2.80315506441898,"DENV2/SENEGAL/0674/1970",FALSE,TRUE,1970,"DENV2","#1f78b4"
3.58279685886663,2.71711470524523,2.37031975602109,3.11071868936176,3.05423102193647,2.61370747319801,3.24484455095205,3.67564450734987,3.14940522773141,2.24879541012364,"DENV2/SENEGAL/0674/1970",TRUE,FALSE,1970,"DENV2","#1f78b4"
3.61582534816154,1.93864231498891,2.7281917617533,3.61240540782656,1.42513925497686,3.55354144709212,3.14447850824032,2.47403766400553,2.66012189589142,2.86122659257181,"DENV4/INDONESIA/AC36/1973",FALSE,TRUE,1973,"DENV4","#e31a1c"
3.50234079273929,2.8457806284299,2.93628122519691,2.95817264279255,2.6134734454536,2.8657469566084,4.21392753714823,3.67448777921969,3.33128387783952,2.55274619937413,"DENV4/MALAYSIA/P731120/1973",FALSE,TRUE,1973,"DENV4","#e31a1c"
3.24043719404791,2.12042281906021,3.11549759666882,3.63778198407318,2.13777290586495,3.28173159453244,3.67234108750759,3.81481358656569,2.73510019886801,1.83762549793011,"DENV4/INDONESIA/AC36/1973",TRUE,FALSE,1973,"DENV4","#e31a1c"
3.12030723302154,2.13747799581574,2.71243984374404,3.6936861311558,2.19693530239158,2.78519018412647,4.93359328820904,3.78471726309018,3.17135869345488,2.39983345805345,"DENV4/MALAYSIA/P731120/1973",TRUE,FALSE,1973,"DENV4","#e31a1c"
2.13157541437937,3.88634370996891,4.22934188582105,-0.232766434057448,1.12679595665764,1.63537209526328,1.87277326464969,2.68749198374679,1.7587761609078,3.1776505815423,"DENV1/NAURU/WESTERNPACIFICDELTA30/1974",FALSE,TRUE,1974,"DENV1","#ff7f00"
1.32655093212287,3.74039978590387,2.57646902108981,-0.0171679257017477,2.27507660119912,3.01328378139565,2.1276462839373,3.70206576288307,2.93909157789051,4.44612927104706,"DENV2/TONGA/DELTA30/1974",FALSE,TRUE,1974,"DENV2","#1f78b4"
4.48905110221997,3.42331774092344,2.58618036403738,3.87439078377394,2.7113028840539,2.93295154418459,2.81864829325206,2.02722484434644,1.12186358475377,3.18068062770596,"DENV1/NAURU/WESTERNPACIFICDELTA30/1974",TRUE,FALSE,1974,"DENV1","#ff7f00"
3.6179733483862,3.11432158417386,2.41770134184509,2.61961697245566,3.08845943983167,2.85089826666612,3.72425081106793,3.07638924259427,4.24604915721143,0.958919292191514,"DENV2/INDIA/742295/1974",TRUE,FALSE,1974,"DENV2","#1f78b4"
3.01518663655045,2.83082454421788,2.09376816945363,2.50238882962402,2.91496769308723,3.53281860555839,3.70808704089834,3.51040681372064,3.53126764205122,1.95094141407169,"DENV2/TONGA/DELTA30/1974",TRUE,FALSE,1974,"DENV2","#1f78b4"
3.92116080270485,2.47497457378129,4.08582533385297,2.31894429123088,2.77032437930288,2.25513139967366,1.86658715416978,3.34564602117926,3.30737984617754,3.41440915748644,"DENV3/INDONESIA/SLEMANDELTA30/1978",FALSE,TRUE,1978,"DENV3","#33a02c"
2.82202703790422,3.17992926830109,3.91568631478507,2.84394489765017,2.04482136253793,2.45909813422301,3.64329889577135,4.39732334596097,3.9260736903878,4.48409189430485,"DENV3/INDONESIA/SLEMANDELTA30/1978",TRUE,FALSE,1978,"DENV3","#33a02c"
2.74609478667069,1.66320796878299,3.19449770608107,3.54691755364104,1.44325483890843,2.66635332025033,2.40149259768341,3.05996219852488,2.37067802518687,2.08817781935235,"DENV4/INDONESIA/S1228/1978",TRUE,FALSE,1978,"DENV4","#e31a1c"
3.12461301732446,1.27326507217676,3.81628679719491,1.6277243476665,1.20830155173192,3.10171796046195,1.92346707922899,3.90612145548409,1.07438273730714,2.22080991214646,"DENV4/DOMINICA/814669DELTA30/1981",FALSE,TRUE,1981,"DENV4","#e31a1c"
3.19889040995634,2.42703539531475,2.6521313091865,3.23205147914472,2.66110538767518,3.25244149245316,3.48098337302413,3.79636632877673,3.22118078485178,1.85012073243893,"DENV4/DOMINICA/814669DELTA30/1981",TRUE,FALSE,1981,"DENV4","#e31a1c"
3.02852038581625,2.20891693182016,3.11757515061946,3.45792181735368,2.10124044201917,3.20386515587078,3.95010983723766,3.84997993636953,2.48756547268685,2.03657055989204,"DENV4/THAILAND/D85052/1985",TRUE,FALSE,1985,"DENV4","#e31a1c"
