"Holdout_MAE","NLL","log_N","log_k0","log_cooling_rate","log_c_repulsion"
1.35212414503219,361.063139875713,2.20644628786296,2.54471568717397,-3.18875332921085,-4.09783357534477
1.38670461380264,365.633997003968,2.15790363089589,2.50590071291023,-4.2638555154662,-3.56958463045405
1.41762916312349,369.626082665003,1.22828893160645,2.74888987817268,-4.16057191905584,-3.31508642476689
1.38087865683357,364.871960479031,1.76977104682291,2.90758251276521,-3.07589978309527,-3.93575148685735
1.37881926152239,364.601821767084,2.22268234113982,3.07000886883782,-3.02760723931314,-3.6174840649411
1.41601817101009,369.420277517392,2.02694339794483,3.37645896015883,-3.03469969123856,-3.50019347487865
1.36727502353629,363.08000993712,2.12352354970714,2.3472903352148,-4.24221810790395,-4.27896027591913
1.35861658130748,361.930159876131,1.27690320165212,2.19266819361569,-3.52575239002085,-3.49617049115359
1.34528222544448,360.144931840944,2.22198002834625,2.37404160897066,-3.38661446981798,-4.20846739010475
1.36609055564721,362.923142006262,2.1614477214243,3.03727927902911,-3.00725549649033,-4.30852970557775
1.38341909752217,365.204645258279,1.09242948101171,2.87571766505679,-3.47974084292408,-4.93512314184561
1.57759759649533,388.978115504864,2.20444667547969,3.41940868777919,-5.10179663776237,-5.06824884981145
1.48241903579516,377.714857597672,1.62683679090022,3.44766658344306,-3.76460444086836,-3.98180320661851
1.38212483130709,365.035230338061,1.08404349640543,2.7205833040351,-3.10998512157027,-3.12108662195648
1.35929504490579,362.020524781789,1.5085413719938,2.48675179321199,-3.88544573513403,-4.11506530011238
1.39368891881293,366.543337247367,1.83823170312398,2.84294090375939,-3.46594085820898,-3.41690709461414
1.53158644166785,383.620679642695,1.36881206176405,3.15919463830236,-5.02081506371905,-4.81958769389181
1.35563157879342,361.532049135335,1.97982684624467,2.58580015911698,-3.81664367635842,-4.59890158383805
1.3713689421178,363.621153528256,2.02516124258356,3.03004876808305,-3.14707399932403,-4.58430240892716
1.53664315634742,384.217288309971,1.46248564745143,3.25420159547243,-4.79354030273119,-4.05457894102564
1.43603211440471,371.960613665676,1.17832078743205,3.16634559681634,-3.49752437667731,-3.55532687222489
1.3879317203715,365.794094599972,1.71361704420186,2.43210164483643,-4.23877289124735,-4.25372175777414
1.39544095987019,366.770733953057,1.18816447629579,3.00122569815244,-3.28498661210309,-4.80957764225977
1.58968046424319,390.359118138682,1.19081630048284,3.47464224585613,-4.33927097368306,-3.57177432450265
1.42613394194966,370.708711210437,2.28553298481837,2.96124545889821,-3.88809793719569,-4.44052029230937
1.40676059843043,368.233059686073,1.15486327585568,3.09041689871394,-3.36525873659212,-3.44941984780601
1.41016838674559,368.670990488867,2.04080622542314,3.0923283441124,-3.2973459565656,-3.7007511097929
1.4869778831583,378.270628377778,1.30628068842401,3.53527000617933,-3.40840386884485,-4.60600015024313
1.41432257712399,369.203411381891,2.04024510442878,2.92646703084677,-3.31651067925438,-4.1500207293922
1.46328514296024,375.363444759906,1.51692023345354,3.41894125715306,-3.59433188356865,-5.20770676664148
1.52085449768441,382.347934385055,1.46367602588146,3.45042819114502,-4.0911767351736,-3.16087346907442
1.39336731656476,366.501565569826,2.14605823494658,2.32828367460779,-3.19889505775308,-3.21009376088495
1.37538311616797,364.150190008377,2.25120181920298,2.41668704779075,-3.15645164272477,-3.24108674780807
1.37274040661159,363.802075687324,2.23795197585814,2.80151473904566,-3.73130162188544,-3.71197362724569
1.51709856306155,381.900380061785,1.58505248631692,3.17332173705682,-4.26620220689539,-3.96373745324513
1.66616571698863,398.864666270352,2.01949799271262,3.586350620126,-3.80157720653308,-4.1075362324081
1.43170663491487,371.414599924663,1.89003680959892,1.81363841743269,-3.07261848107716,-3.10610753371369
1.35152431134245,360.982826254045,1.64448744459108,2.62083207060968,-3.12950421204285,-5.67277237861846
1.35155042120989,360.986322928369,2.06692041093077,2.07531573088886,-3.54435464699278,-4.27385208518734
1.35872885311263,361.945116529405,2.13721835429491,1.94295641625917,-4.58517544439831,-3.11182025660761
1.36511174977463,362.793408760087,2.06942095643441,2.71791218949359,-3.10593301264853,-3.84987733029759
